p,N,method,err_med,err_p25,err_p75
2,2,positional,1.4147706085e-02,9.5315152487e-03,1.7206327491e-02
2,4,positional,4.0102871397e-03,2.5587630682e-03,4.8686536545e-03
2,8,positional,1.1009469720e-03,6.7113296970e-04,1.3757700642e-03
2,16,positional,2.9629493467e-04,1.7184333116e-04,3.8072253976e-04
2,32,positional,8.0115257058e-05,4.3606076790e-05,1.0584157573e-04
2,64,positional,1.7095869711e-05,1.0167989980e-05,2.1679257889e-05
2,128,positional,4.5734674968e-06,2.6520339124e-06,5.7500544614e-06
2,256,positional,1.1446071122e-06,6.6775282732e-07,1.4495577337e-06
2,2,uniform,2.0129988132e-02,1.1936927800e-02,2.5118633070e-02
2,4,uniform,8.6864774866e-03,4.7904009263e-03,1.1330338593e-02
2,8,uniform,3.7316860057e-03,1.9117243988e-03,5.0904623386e-03
2,16,uniform,1.6015264533e-03,7.6160665945e-04,2.2854206722e-03
2,32,uniform,6.8709461505e-04,3.0320921483e-04,1.0258420158e-03
2,64,uniform,2.9474696202e-04,1.2068091314e-04,4.6043205770e-04
2,128,uniform,1.2643440930e-04,4.8027420848e-05,2.0665292335e-04
2,256,uniform,5.4234483596e-05,1.9112697522e-05,9.2750175167e-05
3,2,positional,3.9690822925e-03,2.3102682007e-03,5.0802541343e-03
3,4,positional,7.8817237560e-04,4.3127946655e-04,1.0417079988e-03
3,8,positional,1.3004571507e-04,6.7523690176e-05,1.7666522563e-04
3,16,positional,1.9066584605e-05,9.6532865954e-06,2.6407463307e-05
3,32,positional,2.6194799732e-06,1.3057205594e-06,3.6552979800e-06
3,64,positional,3.4663816247e-07,1.7232185306e-07,4.8437490481e-07
3,128,positional,4.5089500677e-08,2.2206710591e-08,6.3990791514e-08
3,256,positional,5.7993018734e-09,2.8537374872e-09,8.2573787274e-09
3,2,uniform,8.1364776215e-03,4.3477874408e-03,1.0772133004e-02
3,4,uniform,3.5736553472e-03,1.7702213878e-03,4.9515541660e-03
3,8,uniform,1.5340837052e-03,7.0496259482e-04,2.2240608811e-03
3,16,uniform,6.5804718108e-04,2.8053583445e-04,9.9820358424e-04
3,32,uniform,2.8226976430e-04,1.1163733935e-04,4.4801346755e-04
3,64,uniform,1.2107978663e-04,4.4425313921e-05,2.0107727478e-04
3,128,uniform,5.1937247522e-05,1.7678748734e-05,9.0247443885e-05
3,256,uniform,2.2278513675e-05,7.0351368171e-06,4.0504831476e-05
