epoch,train,val
1,3.593528e-03,3.565870e-03
2,3.243803e-03,3.552202e-03
3,3.192073e-03,3.519918e-03
4,3.146135e-03,3.505695e-03
5,3.151037e-03,3.499897e-03
6,3.132440e-03,3.491368e-03
7,3.119245e-03,3.485089e-03
8,3.111383e-03,3.480353e-03
9,3.084840e-03,3.482096e-03
10,3.102395e-03,3.472629e-03
11,3.091037e-03,3.471248e-03
12,3.090564e-03,3.472491e-03
13,3.077492e-03,3.465763e-03
14,3.104774e-03,3.470718e-03
15,3.081962e-03,3.462201e-03
16,3.082350e-03,3.460661e-03
17,3.084858e-03,3.460073e-03
18,3.076801e-03,3.459490e-03
19,3.072646e-03,3.459047e-03
20,3.085040e-03,3.455260e-03
21,3.078992e-03,3.452868e-03
22,3.061081e-03,3.452281e-03
23,3.088716e-03,3.451871e-03
24,3.092978e-03,3.451772e-03
25,3.094948e-03,3.449809e-03
26,3.069449e-03,3.451089e-03
27,3.077203e-03,3.449503e-03
28,3.079258e-03,3.448302e-03
29,3.098377e-03,3.447938e-03
30,3.077016e-03,3.446918e-03
31,3.079458e-03,3.447817e-03
32,3.047967e-03,3.448043e-03
33,3.058791e-03,3.445885e-03
34,3.088407e-03,3.445077e-03
35,3.068206e-03,3.444632e-03
36,3.076958e-03,3.445048e-03
37,3.089631e-03,3.443495e-03
38,3.060193e-03,3.443341e-03
39,3.064475e-03,3.442830e-03
40,3.087347e-03,3.445815e-03
41,3.065847e-03,3.449428e-03
42,3.077542e-03,3.442669e-03
43,3.050725e-03,3.441899e-03
44,3.054546e-03,3.441310e-03
45,3.056405e-03,3.441151e-03
46,3.050325e-03,3.440766e-03
47,3.056399e-03,3.440440e-03
48,3.064027e-03,3.441380e-03
49,3.078092e-03,3.440060e-03
50,3.104272e-03,3.440748e-03
51,3.075646e-03,3.440428e-03
52,3.058057e-03,3.439321e-03
53,3.083210e-03,3.439138e-03
54,3.053983e-03,3.441264e-03
55,3.046777e-03,3.438980e-03
56,3.073530e-03,3.439196e-03
57,3.056203e-03,3.439876e-03
58,3.062821e-03,3.438438e-03
59,3.063772e-03,3.438482e-03
60,3.042351e-03,3.437989e-03
61,3.044043e-03,3.438184e-03
62,3.031226e-03,3.439176e-03
63,3.042346e-03,3.437457e-03
64,3.058477e-03,3.437603e-03
65,3.055120e-03,3.438046e-03
66,3.049082e-03,3.437133e-03
67,3.068340e-03,3.436522e-03
68,3.033783e-03,3.437822e-03
69,3.035503e-03,3.437852e-03
70,3.063793e-03,3.436938e-03
71,3.058057e-03,3.437346e-03
72,3.091299e-03,3.436460e-03
73,3.029938e-03,3.436376e-03
74,3.056162e-03,3.437022e-03
