epoch,train,val
1,3.69322079e-01,1.89237966e-01
2,1.74834986e-01,1.68014515e-01
3,1.61361882e-01,1.64408769e-01
4,1.60787897e-01,1.63358448e-01
5,1.58580697e-01,1.60169183e-01
6,1.56269829e-01,1.58983168e-01
7,1.55542275e-01,1.56418580e-01
8,1.54066881e-01,1.55733988e-01
9,1.53233587e-01,1.53737774e-01
10,1.51570225e-01,1.52342009e-01
11,1.50566745e-01,1.51514333e-01
12,1.49823988e-01,1.50458052e-01
13,1.49406877e-01,1.49628713e-01
14,1.49289487e-01,1.50176558e-01
15,1.49003306e-01,1.48966620e-01
16,1.48957007e-01,1.48820746e-01
17,1.48512078e-01,1.48754581e-01
18,1.48462893e-01,1.48687243e-01
19,1.48444418e-01,1.48623489e-01
20,1.48613561e-01,1.48752565e-01
21,1.48907317e-01,1.48838822e-01
22,1.48314205e-01,1.48613266e-01
23,1.48571022e-01,1.48606817e-01
24,1.48449504e-01,1.48604105e-01
25,1.48370354e-01,1.48599792e-01
26,1.48971588e-01,1.48599071e-01
27,1.48113956e-01,1.48600704e-01
28,1.47524978e-01,1.48590337e-01
29,1.48321235e-01,1.48656150e-01
30,1.48229946e-01,1.48690064e-01
31,1.48156708e-01,1.48595519e-01
32,1.48483458e-01,1.48588731e-01
33,1.48444467e-01,1.48581350e-01
34,1.48480258e-01,1.49038513e-01
35,1.47896832e-01,1.48785477e-01
36,1.47913214e-01,1.48644305e-01
37,1.48384207e-01,1.48710089e-01
38,1.48100104e-01,1.48695817e-01
39,1.48506276e-01,1.48696395e-01
40,1.48880518e-01,1.48561788e-01
41,1.48540100e-01,1.48601857e-01
42,1.48208569e-01,1.48559985e-01
43,1.47887794e-01,1.48747842e-01
44,1.47995655e-01,1.48591540e-01
45,1.48334229e-01,1.48556154e-01
46,1.48326903e-01,1.48597390e-01
47,1.48174759e-01,1.48547523e-01
48,1.48546117e-01,1.48556047e-01
49,1.48446098e-01,1.48561004e-01
50,1.48534834e-01,1.48542552e-01
51,1.47995625e-01,1.48546221e-01
52,1.48237897e-01,1.48546235e-01
53,1.48518212e-01,1.48538851e-01
54,8.37371239e-02,6.36698170e-02
55,5.76961220e-02,5.67434642e-02
56,5.39377507e-02,5.45927329e-02
57,5.25576067e-02,5.39701967e-02
58,5.23421519e-02,5.35769094e-02
59,5.17893204e-02,5.33362589e-02
60,5.19112330e-02,5.32028536e-02
61,5.17507473e-02,5.30408402e-02
62,5.17291845e-02,5.29579478e-02
63,5.14371698e-02,5.29709784e-02
64,5.13709772e-02,5.28541626e-02
65,5.14584547e-02,5.28694724e-02
66,5.14031599e-02,5.28152363e-02
67,5.16377814e-02,5.27970692e-02
68,5.15665110e-02,5.27937712e-02
69,5.13599719e-02,5.28164889e-02
70,5.15651931e-02,5.27703673e-02
71,5.16274473e-02,5.27833565e-02
72,5.16032665e-02,5.27527727e-02
73,5.15805403e-02,5.27444991e-02
74,5.12720778e-02,5.27541131e-02
75,5.15602263e-02,5.27593123e-02
76,5.15636236e-02,5.27327864e-02
77,5.11757123e-02,5.27370869e-02
78,5.14394840e-02,5.27294068e-02
79,5.16228495e-02,5.27188474e-02
80,5.14889723e-02,5.27382157e-02
81,5.11370357e-02,5.27138591e-02
82,5.11887651e-02,5.27164221e-02
83,5.12927913e-02,5.27090011e-02
84,5.14854257e-02,5.27090268e-02
85,5.11589277e-02,5.26883721e-02
86,5.13279160e-02,5.26914860e-02
87,5.15395342e-02,5.26803453e-02
88,5.13785196e-02,5.26885053e-02
89,5.14466608e-02,5.26805002e-02
90,5.13758325e-02,5.26846037e-02
91,5.13145442e-02,5.26869267e-02
