epoch,train,val
1,3.69322079e-01,1.89237966e-01
2,1.74834986e-01,1.68014515e-01
3,1.61361882e-01,1.64408769e-01
4,1.60787897e-01,1.63358448e-01
5,1.58580697e-01,1.60169183e-01
6,1.56269829e-01,1.58983168e-01
7,1.55542275e-01,1.56418580e-01
8,1.54066881e-01,1.55733988e-01
9,1.53233587e-01,1.53737774e-01
10,1.51570225e-01,1.52342009e-01
11,1.50566745e-01,1.51514333e-01
12,1.49823988e-01,1.50458052e-01
13,1.49406877e-01,1.49628713e-01
14,1.49289487e-01,1.50176558e-01
15,1.49003306e-01,1.48966620e-01
16,1.48957007e-01,1.48820746e-01
17,1.48512078e-01,1.48754581e-01
18,1.48462893e-01,1.48687243e-01
19,1.48444418e-01,1.48623489e-01
20,1.48613561e-01,1.48752565e-01
21,1.48907317e-01,1.48838822e-01
22,1.48314205e-01,1.48613266e-01
23,1.48571022e-01,1.48606817e-01
24,1.48449504e-01,1.48604105e-01
25,1.48370354e-01,1.48599792e-01
26,1.48971588e-01,1.48599071e-01
27,1.48113956e-01,1.48600704e-01
28,1.47524978e-01,1.48590337e-01
29,1.48321235e-01,1.48656150e-01
30,1.48229946e-01,1.48690064e-01
31,1.48156708e-01,1.48595519e-01
32,1.48483458e-01,1.48588731e-01
33,1.48444467e-01,1.48581350e-01
34,1.48480258e-01,1.49038513e-01
35,1.47896832e-01,1.48785477e-01
36,1.47913214e-01,1.48644305e-01
37,1.48384207e-01,1.48710089e-01
38,1.48100104e-01,1.48695817e-01
39,1.48506276e-01,1.48696395e-01
40,1.48880518e-01,1.48561788e-01
41,1.48540100e-01,1.48601857e-01
42,1.48208569e-01,1.48559985e-01
43,1.47887794e-01,1.48747842e-01
44,1.47995655e-01,1.48591540e-01
45,1.48334229e-01,1.48556154e-01
46,1.48326903e-01,1.48597390e-01
47,1.48174759e-01,1.48547523e-01
48,1.48546117e-01,1.48556047e-01
49,1.48446098e-01,1.48561004e-01
50,1.48534834e-01,1.48542552e-01
51,1.47995625e-01,1.48546221e-01
52,1.48237897e-01,1.48546235e-01
53,1.48518212e-01,1.48538851e-01
