p,N,method,err_h1_rel_median,err_h1_rel_p25,err_h1_rel_p75
3,32,positional,2.3118496919e-02,6.5733822940e-03,1.2459539475e-01
3,48,positional,5.4861179346e-03,1.6588629647e-03,1.3846429642e-02
3,64,positional,2.0913494940e-03,6.5431214843e-04,4.5725402666e-03
3,96,positional,5.7618196676e-04,1.8517223458e-04,1.1959721256e-03
3,128,positional,2.3485184019e-04,7.6563061736e-05,4.7994411951e-04
3,256,positional,2.8557923975e-05,9.3889412533e-06,5.7085426654e-05
3,32,uniform,8.4230034258e-02,1.3802913368e-02,1.0075553824e+00
3,48,uniform,1.5441254308e-02,3.3764815773e-03,9.4249927921e-02
3,64,uniform,5.6176617720e-03,1.3301410764e-03,1.6395317791e-02
3,96,uniform,1.4925768897e-03,3.7459774742e-04,3.6122872033e-03
3,128,uniform,6.0522316676e-04,1.5518717479e-04,1.4241301918e-03
3,256,uniform,7.2793070795e-05,1.9061367961e-05,1.6641323003e-04
