epoch,train,val
1,2.172665e-01,2.203250e-01
2,2.342683e-01,2.388809e-01
3,2.445269e-01,2.130377e-01
4,2.417628e-01,2.261911e-01
5,2.362493e-01,2.334163e-01
6,2.440038e-01,2.158108e-01
7,2.249545e-01,2.218715e-01
8,2.340985e-01,2.108006e-01
9,2.188080e-01,2.173974e-01
10,2.207435e-01,2.145425e-01
11,2.232032e-01,2.145646e-01
12,2.329888e-01,2.249396e-01
13,2.248929e-01,2.195961e-01
14,2.283918e-01,2.187476e-01
15,2.301980e-01,2.228297e-01
16,2.298216e-01,2.159640e-01
17,2.207414e-01,2.131044e-01
18,2.366473e-01,2.145134e-01
19,2.333219e-01,2.096267e-01
20,2.219784e-01,2.151604e-01
21,2.383298e-01,2.169392e-01
22,2.220346e-01,2.126188e-01
23,2.263307e-01,2.118860e-01
24,2.229942e-01,2.117769e-01
25,2.199833e-01,2.113260e-01
26,2.338383e-01,2.121336e-01
27,2.291863e-01,2.106717e-01
28,2.204112e-01,2.147496e-01
29,2.205328e-01,2.123380e-01
30,2.273822e-01,2.097025e-01
31,2.228326e-01,2.108663e-01
32,2.258029e-01,2.164199e-01
33,2.242700e-01,2.167557e-01
34,2.405002e-01,2.147235e-01
35,2.317245e-01,2.124775e-01
36,2.294981e-01,2.120665e-01
37,2.259346e-01,2.329102e-01
38,2.356885e-01,2.320723e-01
39,2.390612e-01,2.188969e-01
40,2.351238e-01,2.102381e-01
41,2.284038e-01,2.115283e-01
42,2.268927e-01,2.346363e-01
43,2.418532e-01,2.129892e-01
44,2.381543e-01,2.164098e-01
45,2.268454e-01,2.168830e-01
46,2.297819e-01,2.172409e-01
47,2.284854e-01,2.261710e-01
48,2.240563e-01,2.095267e-01
