epoch,train,val
1,5.16375900e-01,3.94473800e-01
2,3.72519800e-01,4.00282100e-01
3,3.61055600e-01,4.54197100e-01
4,3.67194500e-01,4.47317300e-01
5,3.62928900e-01,4.23702200e-01
6,3.40828600e-01,3.90574300e-01
7,3.31742100e-01,3.70169800e-01
8,3.19977600e-01,3.60335500e-01
9,3.22029000e-01,3.50107000e-01
10,3.26350300e-01,3.47684900e-01
11,3.28297400e-01,3.47179700e-01
12,3.18213700e-01,3.44859800e-01
13,3.14612500e-01,3.48401500e-01
14,3.04050100e-01,3.52573500e-01
15,3.00768200e-01,3.64237800e-01
16,2.99154200e-01,3.62822300e-01
17,2.97417700e-01,3.57719000e-01
18,2.85624900e-01,3.50390800e-01
19,2.82867400e-01,3.37762100e-01
20,2.71873900e-01,3.26515900e-01
21,2.71817600e-01,3.23494300e-01
22,2.67873800e-01,3.23083200e-01
23,2.54215700e-01,3.27602000e-01
24,2.58408500e-01,3.36316700e-01
25,2.49519500e-01,3.37095600e-01
26,2.40835800e-01,3.41348600e-01
27,2.38446500e-01,3.40196700e-01
28,2.32736900e-01,3.34703800e-01
29,2.38569700e-01,3.32671700e-01
30,2.38357600e-01,3.30807100e-01
31,2.35713400e-01,3.27918400e-01
32,2.34086000e-01,3.24726700e-01
33,2.22017300e-01,3.22654300e-01
34,2.22516000e-01,3.19381500e-01
35,2.26232700e-01,3.16305900e-01
36,2.21156400e-01,3.14081800e-01
37,2.15950600e-01,3.06693700e-01
38,2.24636200e-01,3.01643200e-01
39,2.22465300e-01,3.02006600e-01
40,2.14982600e-01,3.06033900e-01
41,2.06401400e-01,3.16586200e-01
42,2.17094200e-01,3.37804000e-01
43,2.13010900e-01,3.26700900e-01
44,2.06325200e-01,3.24358400e-01
45,2.04516100e-01,3.32378800e-01
46,2.05918500e-01,3.27100500e-01
47,2.03171700e-01,3.20990500e-01
48,2.00044300e-01,3.18244400e-01
49,1.97547600e-01,3.13699500e-01
50,1.91853500e-01,3.14191300e-01
51,1.96033400e-01,3.10663800e-01
52,1.84359100e-01,3.05767500e-01
53,1.85395300e-01,3.01980700e-01
54,1.85667000e-01,3.01294700e-01
55,1.84101900e-01,3.01082700e-01
56,1.81667400e-01,3.07121900e-01
57,1.84122000e-01,3.07755100e-01
58,1.76951000e-01,3.16409500e-01
59,1.81104100e-01,3.12142800e-01
60,1.68904800e-01,3.20098500e-01
61,3.48010800e-01,3.28038700e-01
62,3.03793600e-01,2.85914700e-01
63,2.94806700e-01,2.86680000e-01
64,2.99344700e-01,2.92236200e-01
65,2.88688900e-01,2.68559000e-01
66,2.64144700e-01,2.60197100e-01
67,2.74787000e-01,2.61905900e-01
68,2.62949600e-01,2.52098900e-01
69,2.56166000e-01,2.50842500e-01
70,2.58007000e-01,2.44696300e-01
71,2.62269900e-01,2.52962300e-01
72,2.49472000e-01,2.57152000e-01
73,2.54547100e-01,2.44464700e-01
74,2.68217600e-01,2.62973100e-01
75,2.49838200e-01,2.41393500e-01
76,2.53156900e-01,2.36883000e-01
77,2.48878400e-01,2.45157800e-01
78,2.40602500e-01,2.40586400e-01
79,2.36757900e-01,2.35248400e-01
80,2.40113500e-01,2.45393700e-01
81,2.45969000e-01,2.41125900e-01
82,2.42084000e-01,2.34227600e-01
83,2.45284400e-01,2.32718100e-01
84,2.55272300e-01,2.33453400e-01
85,2.47310600e-01,2.52083500e-01
86,2.60908900e-01,2.48429700e-01
87,2.50876400e-01,2.36602200e-01
88,2.33470400e-01,2.34967500e-01
89,2.40845000e-01,2.36196000e-01
90,2.36461900e-01,2.34487600e-01
91,2.36600600e-01,2.38064600e-01
92,2.49495600e-01,2.42435300e-01
93,2.48496500e-01,2.32239900e-01
94,2.46298400e-01,2.33797000e-01
95,2.34631000e-01,2.33141800e-01
96,2.29096100e-01,2.35166100e-01
97,2.40294200e-01,2.31599600e-01
98,2.41331300e-01,2.31996700e-01
99,2.29000900e-01,2.36193600e-01
100,2.46016600e-01,2.38154900e-01
101,2.37391800e-01,2.34040100e-01
102,2.36801000e-01,2.33566700e-01
103,2.37049800e-01,2.37756000e-01
104,2.39563400e-01,2.39006700e-01
105,2.43699900e-01,2.35677200e-01
106,2.31348000e-01,2.31964300e-01
107,2.33236800e-01,2.30604500e-01
108,2.30132400e-01,2.48585300e-01
109,2.43051300e-01,2.38114200e-01
110,2.44508000e-01,2.35684600e-01
111,2.40779400e-01,2.30649700e-01
112,2.39314400e-01,2.50966700e-01
113,2.40167700e-01,2.32990300e-01
114,2.40210100e-01,2.32612300e-01
115,2.30708200e-01,2.29795900e-01
116,2.33613100e-01,2.33977900e-01
117,2.35767300e-01,2.39592000e-01
118,2.39104300e-01,2.38517900e-01
119,2.48453200e-01,2.44760700e-01
120,2.46105200e-01,2.28862000e-01
121,2.35700100e-01,2.32745700e-01
122,2.31429200e-01,2.39105100e-01
123,2.36962300e-01,2.32822400e-01
124,2.25149600e-01,2.28326100e-01
125,2.36892700e-01,2.32928700e-01
126,2.36350800e-01,2.28415000e-01
127,2.51224300e-01,2.29835300e-01
128,2.37952300e-01,2.30155400e-01
129,2.46354200e-01,2.34780500e-01
130,2.37024800e-01,2.32372600e-01
131,2.30687300e-01,2.30868800e-01
132,2.31149000e-01,2.34073800e-01
133,2.35914100e-01,2.31643000e-01
134,2.35012700e-01,2.28520000e-01
135,2.31334700e-01,2.28643800e-01
136,2.24030100e-01,2.30090700e-01
137,2.43247300e-01,2.27353100e-01
138,2.29976600e-01,2.29441200e-01
139,2.32609100e-01,2.29361400e-01
140,2.31159900e-01,2.34913000e-01
141,2.27870900e-01,2.34866400e-01
142,2.30817800e-01,2.39592500e-01
143,2.45225900e-01,2.32944200e-01
144,2.26930300e-01,2.41869400e-01
145,2.43308800e-01,2.35556400e-01
146,2.28019000e-01,2.27370900e-01
147,2.26790400e-01,2.33314600e-01
148,2.38958700e-01,2.31072500e-01
149,2.35063200e-01,2.28267200e-01
150,2.38911700e-01,2.33422700e-01
151,2.38425600e-01,2.27102700e-01
152,2.43152700e-01,2.28259600e-01
153,2.33552300e-01,2.29727600e-01
154,2.20695100e-01,2.28171100e-01
155,2.35358500e-01,2.30259600e-01
156,2.27922600e-01,2.32285300e-01
157,2.40347500e-01,2.28246100e-01
158,2.33051700e-01,2.27048800e-01
159,2.34258600e-01,2.26711200e-01
160,2.37340100e-01,2.28033900e-01
161,2.32639600e-01,2.27525400e-01
162,2.42794000e-01,2.37771600e-01
163,2.76235800e-01,2.25990400e-01
164,2.66964300e-01,2.29176500e-01
165,2.54616800e-01,2.26117000e-01
166,2.45200900e-01,2.37438500e-01
167,2.55494000e-01,2.20793600e-01
168,2.34952900e-01,2.26957300e-01
169,2.26508800e-01,2.19630900e-01
170,2.28602900e-01,2.25717000e-01
171,2.24160700e-01,2.22572000e-01
172,2.37871100e-01,2.27012300e-01
173,2.36256100e-01,2.23922000e-01
174,2.30701900e-01,2.32035300e-01
175,2.45234900e-01,2.31590500e-01
176,2.34040500e-01,2.17980700e-01
177,2.37676900e-01,2.16851700e-01
178,2.29410400e-01,2.26069800e-01
179,2.37593700e-01,2.31160900e-01
180,2.31218300e-01,2.16907900e-01
181,2.25866600e-01,2.22006900e-01
182,2.33216500e-01,2.27027400e-01
183,2.30093700e-01,2.23157400e-01
184,2.29348700e-01,2.21562600e-01
185,2.25576700e-01,2.29698000e-01
186,2.41530400e-01,2.23298100e-01
187,2.30648200e-01,2.20210500e-01
188,2.28730800e-01,2.17180400e-01
189,2.39889200e-01,2.16287900e-01
190,2.26097800e-01,2.27590500e-01
191,2.39340200e-01,2.23836800e-01
192,2.33178800e-01,2.22671500e-01
193,2.26715400e-01,2.18234600e-01
194,2.34248500e-01,2.17121200e-01
195,2.30081900e-01,2.24790200e-01
196,2.27120900e-01,2.22714600e-01
197,2.30480500e-01,2.22139600e-01
198,2.28490000e-01,2.15740700e-01
199,2.22118200e-01,2.17469600e-01
200,2.37887300e-01,2.17953500e-01
201,2.34926200e-01,2.17658100e-01
202,2.39902200e-01,2.22432200e-01
203,2.39275500e-01,2.19737100e-01
204,2.43561000e-01,2.17746600e-01
205,2.27612600e-01,2.23676900e-01
206,2.44838700e-01,2.17850000e-01
207,2.33319400e-01,2.16515600e-01
208,2.31012900e-01,2.24645700e-01
209,2.39915100e-01,2.22395400e-01
210,2.27684500e-01,2.36667300e-01
211,2.34355000e-01,2.17377800e-01
212,2.31574500e-01,2.18775600e-01
213,2.32866200e-01,2.18280900e-01
214,2.44924300e-01,2.18051100e-01
215,2.36063900e-01,2.16042000e-01
216,2.28234100e-01,2.16118800e-01
217,2.41343900e-01,2.15539200e-01
218,2.24693900e-01,2.16605700e-01
219,2.35396100e-01,2.15875200e-01
220,2.35771500e-01,2.16278800e-01
221,2.22369500e-01,2.16333400e-01
222,2.35857400e-01,2.17616300e-01
223,2.32209600e-01,2.18655100e-01
224,2.35197000e-01,2.17648000e-01
225,2.24996400e-01,2.24216800e-01
226,2.28548900e-01,2.19305300e-01
227,2.46281500e-01,2.19168800e-01
228,2.34512300e-01,2.27698800e-01
229,2.22982500e-01,2.19788100e-01
230,2.26937600e-01,2.28657000e-01
231,2.34042200e-01,2.19256700e-01
232,2.36758400e-01,2.21187600e-01
233,2.40917700e-01,2.23347900e-01
234,2.40827700e-01,2.13552000e-01
235,2.23708400e-01,2.18185200e-01
236,2.22626700e-01,2.13508600e-01
237,2.33553300e-01,2.14900900e-01
238,2.24909200e-01,2.14748800e-01
239,2.38180600e-01,2.14896500e-01
240,2.24450600e-01,2.14874200e-01
241,2.26250100e-01,2.14443400e-01
242,2.21778000e-01,2.21652000e-01
243,2.29248600e-01,2.25779900e-01
244,2.27905100e-01,2.13388100e-01
245,2.29920100e-01,2.25160900e-01
246,2.24003900e-01,2.19780500e-01
247,2.34744200e-01,2.15491300e-01
248,2.27526200e-01,2.12765500e-01
249,2.19911500e-01,2.14003200e-01
250,2.27217300e-01,2.16046100e-01
251,2.24746400e-01,2.13993600e-01
252,2.22963600e-01,2.12548200e-01
253,2.18795600e-01,2.14133700e-01
254,2.23299700e-01,2.13425500e-01
255,2.32163300e-01,2.13831300e-01
256,2.22093600e-01,2.16506300e-01
257,2.34528100e-01,2.12974100e-01
258,2.37633800e-01,2.12704600e-01
259,2.24614000e-01,2.13927400e-01
260,2.26755900e-01,2.13513800e-01
261,2.32279900e-01,2.14856400e-01
262,2.20023900e-01,2.13293600e-01
263,2.24650700e-01,2.14061000e-01
264,2.24304800e-01,2.14918100e-01
265,2.34480600e-01,2.11622000e-01
266,2.17932800e-01,2.11248600e-01
267,2.31236300e-01,2.13240400e-01
268,2.26568000e-01,2.13882900e-01
269,2.30623100e-01,2.14580200e-01
270,2.26165200e-01,2.13329900e-01
271,2.23632900e-01,2.13533400e-01
272,2.31499600e-01,2.15433400e-01
273,2.23455600e-01,2.13330800e-01
274,2.22097400e-01,2.16094200e-01
275,2.33387100e-01,2.12976400e-01
276,2.27888500e-01,2.17104400e-01
277,2.29896700e-01,2.18178500e-01
278,2.26157400e-01,2.12667400e-01
279,2.25885100e-01,2.13476400e-01
280,2.27790400e-01,2.13123900e-01
281,2.27252000e-01,2.13330300e-01
282,2.27207400e-01,2.11669900e-01
283,2.23294000e-01,2.12235100e-01
284,2.19373600e-01,2.15698100e-01
285,2.23865600e-01,2.14338200e-01
286,2.16899400e-01,2.14607600e-01
287,2.27613800e-01,2.13157200e-01
288,2.24163000e-01,2.13499300e-01
289,2.33347900e-01,2.15006200e-01
290,2.19962100e-01,2.13509200e-01
291,2.16898500e-01,2.16586800e-01
292,2.23268300e-01,2.16491800e-01
293,2.22758400e-01,2.13796500e-01
294,2.20805600e-01,2.14201100e-01
295,2.22242000e-01,2.11517900e-01
296,2.24055600e-01,2.19252200e-01
297,2.26946100e-01,2.11406300e-01
298,2.26503500e-01,2.11146000e-01
299,2.16921300e-01,2.10602500e-01
300,2.21989100e-01,2.11825700e-01
301,2.26239600e-01,2.17614800e-01
302,2.21824000e-01,2.16430100e-01
303,2.18728600e-01,2.15871200e-01
304,2.26625000e-01,2.13485100e-01
305,2.21983500e-01,2.17911900e-01
306,2.27282000e-01,2.11224300e-01
307,2.17266500e-01,2.20325000e-01
308,2.34268300e-01,2.38880900e-01
309,2.44526900e-01,2.13037700e-01
310,2.41762800e-01,2.26191100e-01
311,2.36249300e-01,2.33416300e-01
312,2.44003800e-01,2.15810800e-01
313,2.24954500e-01,2.21871500e-01
314,2.34098500e-01,2.10800600e-01
315,2.18808000e-01,2.17397400e-01
316,2.20743500e-01,2.14542500e-01
317,2.23203200e-01,2.14564600e-01
318,2.32988800e-01,2.24939600e-01
319,2.24892900e-01,2.19596100e-01
320,2.28391800e-01,2.18747600e-01
321,2.30198000e-01,2.22829700e-01
322,2.29821600e-01,2.15964000e-01
323,2.20741400e-01,2.13104400e-01
324,2.36647300e-01,2.14513400e-01
325,2.33321900e-01,2.09626700e-01
326,2.21978400e-01,2.15160400e-01
327,2.38329800e-01,2.16939200e-01
328,2.22034600e-01,2.12618800e-01
329,2.26330700e-01,2.11886000e-01
330,2.22994200e-01,2.11776900e-01
331,2.19983300e-01,2.11326000e-01
332,2.33838300e-01,2.12133600e-01
333,2.29186300e-01,2.10671700e-01
334,2.20411200e-01,2.14749600e-01
335,2.20532800e-01,2.12338000e-01
336,2.27382200e-01,2.09702500e-01
337,2.22832600e-01,2.10866300e-01
338,2.25802900e-01,2.16419900e-01
339,2.24270000e-01,2.16755700e-01
340,2.40500200e-01,2.14723500e-01
341,2.31724500e-01,2.12477500e-01
342,2.29498100e-01,2.12066500e-01
343,2.25934600e-01,2.32910200e-01
344,2.35688500e-01,2.32072300e-01
345,2.39061200e-01,2.18896900e-01
346,2.35123800e-01,2.10238100e-01
347,2.28403800e-01,2.11528300e-01
348,2.26892700e-01,2.34636300e-01
349,2.41853200e-01,2.12989200e-01
350,2.38154300e-01,2.16409800e-01
351,2.26845400e-01,2.16883000e-01
352,2.29781900e-01,2.17240900e-01
353,2.28485400e-01,2.26171000e-01
354,2.24056300e-01,2.09526700e-01
