epoch,train,val
1,1.39731700e-01,1.25425600e-01
2,1.44624700e-01,1.20872200e-01
3,1.32661300e-01,1.22224000e-01
4,1.80053200e-01,1.17944500e-01
5,1.40931100e-01,1.21813600e-01
6,1.33314200e-01,1.20568700e-01
7,1.62204400e-01,1.23351200e-01
8,1.46053100e-01,1.19851800e-01
9,1.50503800e-01,1.28982400e-01
10,1.83190800e-01,1.57204800e-01
11,1.62658800e-01,1.71121700e-01
12,1.57334600e-01,1.67677500e-01
13,1.55811500e-01,1.46041200e-01
14,1.97123700e-01,1.43418900e-01
15,1.50670800e-01,1.20840200e-01
16,1.46860400e-01,1.38317000e-01
17,1.48008700e-01,1.22309600e-01
18,1.33753800e-01,1.41134700e-01
19,1.45603900e-01,1.33604900e-01
20,1.45419800e-01,1.23111800e-01
21,1.27494600e-01,1.17641000e-01
22,1.34355600e-01,1.15156200e-01
23,1.33713500e-01,1.19110500e-01
24,1.41840700e-01,1.16869100e-01
25,1.40590800e-01,1.25323600e-01
26,1.39445000e-01,1.33187000e-01
27,1.52314200e-01,1.48501300e-01
28,1.47229300e-01,1.71235200e-01
29,1.77858700e-01,1.32828000e-01
30,1.49249200e-01,1.34159600e-01
31,1.42811800e-01,1.65095800e-01
32,1.53650600e-01,1.45830200e-01
33,1.55268800e-01,1.23886600e-01
34,1.34918500e-01,1.21769800e-01
35,1.39114500e-01,1.46229600e-01
36,1.51180800e-01,1.20128800e-01
37,1.37906000e-01,1.20291600e-01
38,1.32877000e-01,1.16740600e-01
39,1.30085600e-01,1.15808600e-01
40,1.39569900e-01,1.21689400e-01
41,1.44533100e-01,1.25299500e-01
42,1.33352800e-01,1.17520500e-01
43,1.27868900e-01,1.14992900e-01
44,1.48369600e-01,1.42900200e-01
45,1.63833700e-01,1.33145400e-01
46,1.39483500e-01,1.14956700e-01
47,1.49052600e-01,1.18608300e-01
48,1.37042500e-01,1.29185100e-01
49,1.32412800e-01,1.38975300e-01
50,1.51280000e-01,1.18623000e-01
51,1.31018000e-01,1.17129900e-01
52,1.24451900e-01,1.18261000e-01
53,1.28505000e-01,1.20252400e-01
54,1.41047600e-01,1.16904900e-01
55,1.33884600e-01,1.12465600e-01
56,1.26376700e-01,1.16013600e-01
57,1.26051400e-01,1.12606300e-01
58,1.41875000e-01,1.21224900e-01
59,1.42765600e-01,1.33559300e-01
60,1.66122600e-01,1.16539800e-01
61,1.41842700e-01,1.24360100e-01
62,1.27185100e-01,1.13820600e-01
63,1.36044000e-01,1.13120000e-01
64,1.31837200e-01,1.12784500e-01
65,1.24590400e-01,1.15704400e-01
66,1.29896000e-01,1.12775400e-01
67,1.37099900e-01,1.25976000e-01
68,1.35367500e-01,1.16543100e-01
69,1.27627100e-01,1.12423700e-01
70,1.31397200e-01,1.14210000e-01
71,1.24837700e-01,1.18274600e-01
72,1.24573500e-01,1.12778400e-01
73,1.31686800e-01,1.12802000e-01
74,1.28025600e-01,1.11669600e-01
75,1.28628100e-01,1.14795400e-01
76,1.25908700e-01,1.11730600e-01
77,1.25386300e-01,1.14666900e-01
78,1.19817700e-01,1.10340200e-01
79,1.21919900e-01,1.16780900e-01
80,1.44186100e-01,1.16515100e-01
81,1.26628700e-01,1.14412600e-01
82,1.22914700e-01,1.12860500e-01
83,1.28142000e-01,1.20730100e-01
84,1.27992200e-01,1.12828000e-01
85,1.31118800e-01,1.14061900e-01
86,1.30045900e-01,1.18486800e-01
87,1.31691000e-01,1.11417300e-01
88,1.24735100e-01,1.15152400e-01
89,1.38878000e-01,1.19828600e-01
90,1.33384200e-01,1.18698600e-01
91,1.42384000e-01,1.10565600e-01
92,1.18989900e-01,1.12339400e-01
93,1.32664400e-01,1.09367100e-01
94,1.29882500e-01,1.11214900e-01
95,1.23633900e-01,1.22999000e-01
96,1.24074000e-01,1.11325700e-01
97,1.22270700e-01,1.10964300e-01
98,1.36102700e-01,1.41613200e-01
99,1.72740400e-01,1.24935400e-01
100,1.33979000e-01,1.30514600e-01
101,1.39882900e-01,1.18034000e-01
102,1.57884500e-01,1.31217200e-01
103,1.32399800e-01,1.22954400e-01
104,1.39027400e-01,1.16269100e-01
105,1.28658400e-01,1.14940200e-01
106,1.28939500e-01,1.10221300e-01
107,1.24714000e-01,1.10788900e-01
108,1.28311600e-01,1.12902300e-01
109,1.24409600e-01,1.10373500e-01
110,1.26343700e-01,1.11092100e-01
111,1.29688700e-01,1.10399500e-01
112,1.37932400e-01,1.26173900e-01
113,1.30174100e-01,1.13816100e-01
114,1.42231700e-01,1.14278100e-01
115,1.18931600e-01,1.13354400e-01
116,1.35108700e-01,1.22005000e-01
117,1.39225600e-01,1.12081700e-01
118,1.21216400e-01,1.10358800e-01
