x,y,z
0.000000,0.000000,0.000000e+00
0.012658,0.000000,0.000000e+00
0.025316,0.000000,0.000000e+00
0.037975,0.000000,0.000000e+00
0.050633,0.000000,0.000000e+00
0.063291,0.000000,0.000000e+00
0.075949,0.000000,0.000000e+00
0.088608,0.000000,0.000000e+00
0.101266,0.000000,0.000000e+00
0.113924,0.000000,0.000000e+00
0.126582,0.000000,0.000000e+00
0.139241,0.000000,0.000000e+00
0.151899,0.000000,0.000000e+00
0.164557,0.000000,0.000000e+00
0.177215,0.000000,0.000000e+00
0.189873,0.000000,0.000000e+00
0.202532,0.000000,0.000000e+00
0.215190,0.000000,0.000000e+00
0.227848,0.000000,0.000000e+00
0.240506,0.000000,0.000000e+00
0.253165,0.000000,0.000000e+00
0.265823,0.000000,0.000000e+00
0.278481,0.000000,0.000000e+00
0.291139,0.000000,0.000000e+00
0.303797,0.000000,0.000000e+00
0.316456,0.000000,0.000000e+00
0.329114,0.000000,0.000000e+00
0.341772,0.000000,0.000000e+00
0.354430,0.000000,0.000000e+00
0.367089,0.000000,0.000000e+00
0.379747,0.000000,0.000000e+00
0.392405,0.000000,0.000000e+00
0.405063,0.000000,0.000000e+00
0.417722,0.000000,0.000000e+00
0.430380,0.000000,0.000000e+00
0.443038,0.000000,0.000000e+00
0.455696,0.000000,0.000000e+00
0.468354,0.000000,0.000000e+00
0.481013,0.000000,0.000000e+00
0.493671,0.000000,0.000000e+00
0.506329,0.000000,0.000000e+00
0.518987,0.000000,0.000000e+00
0.531646,0.000000,0.000000e+00
0.544304,0.000000,0.000000e+00
0.556962,0.000000,0.000000e+00
0.569620,0.000000,0.000000e+00
0.582278,0.000000,0.000000e+00
0.594937,0.000000,0.000000e+00
0.607595,0.000000,0.000000e+00
0.620253,0.000000,0.000000e+00
0.632911,0.000000,0.000000e+00
0.645570,0.000000,0.000000e+00
0.658228,0.000000,0.000000e+00
0.670886,0.000000,0.000000e+00
0.683544,0.000000,0.000000e+00
0.696203,0.000000,0.000000e+00
0.708861,0.000000,0.000000e+00
0.721519,0.000000,0.000000e+00
0.734177,0.000000,0.000000e+00
0.746835,0.000000,0.000000e+00
0.759494,0.000000,0.000000e+00
0.772152,0.000000,0.000000e+00
0.784810,0.000000,0.000000e+00
0.797468,0.000000,0.000000e+00
0.810127,0.000000,0.000000e+00
0.822785,0.000000,0.000000e+00
0.835443,0.000000,0.000000e+00
0.848101,0.000000,0.000000e+00
0.860759,0.000000,0.000000e+00
0.873418,0.000000,0.000000e+00
0.886076,0.000000,0.000000e+00
0.898734,0.000000,0.000000e+00
0.911392,0.000000,0.000000e+00
0.924051,0.000000,0.000000e+00
0.936709,0.000000,0.000000e+00
0.949367,0.000000,0.000000e+00
0.962025,0.000000,0.000000e+00
0.974684,0.000000,0.000000e+00
0.987342,0.000000,0.000000e+00
1.000000,0.000000,0.000000e+00
0.000000,0.012658,0.000000e+00
0.012658,0.012658,4.148619e-06
0.025316,0.012658,9.000122e-06
0.037975,0.012658,1.455451e-05
0.050633,0.012658,2.081178e-05
0.063291,0.012658,2.777194e-05
0.075949,0.012658,3.543498e-05
0.088608,0.012658,4.380090e-05
0.101266,0.012658,5.286971e-05
0.113924,0.012658,6.264140e-05
0.126582,0.012658,7.311598e-05
0.139241,0.012658,8.429344e-05
0.151899,0.012658,9.617378e-05
0.164557,0.012658,1.087570e-04
0.177215,0.012658,1.220431e-04
0.189873,0.012658,1.360321e-04
0.202532,0.012658,1.507240e-04
0.215190,0.012658,1.661188e-04
0.227848,0.012658,1.822164e-04
0.240506,0.012658,1.990169e-04
0.253165,0.012658,2.165204e-04
0.265823,0.012658,2.357944e-04
0.278481,0.012658,2.591402e-04
0.291139,0.012658,2.866357e-04
0.303797,0.012658,3.182810e-04
0.316456,0.012658,3.540762e-04
0.329114,0.012658,3.940211e-04
0.341772,0.012658,4.381158e-04
0.354430,0.012658,4.863603e-04
0.367089,0.012658,5.426266e-04
0.379747,0.012658,6.135745e-04
0.392405,0.012658,6.993194e-04
0.405063,0.012658,7.998612e-04
0.417722,0.012658,9.190321e-04
0.430380,0.012658,1.075214e-03
0.443038,0.012658,1.270812e-03
0.455696,0.012658,1.514198e-03
0.468354,0.012658,1.827494e-03
0.481013,0.012658,2.211220e-03
0.493671,0.012658,2.658878e-03
0.506329,0.012658,3.133806e-03
0.518987,0.012658,3.576551e-03
0.531646,0.012658,3.960934e-03
0.544304,0.012658,4.276553e-03
0.556962,0.012658,4.521510e-03
0.569620,0.012658,4.710790e-03
0.582278,0.012658,4.868807e-03
0.594937,0.012658,4.995904e-03
0.607595,0.012658,5.092729e-03
0.620253,0.012658,5.173562e-03
0.632911,0.012658,5.244256e-03
0.645570,0.012658,5.304811e-03
0.658228,0.012658,5.355227e-03
0.670886,0.012658,5.397519e-03
0.683544,0.012658,5.435789e-03
0.696203,0.012658,5.470158e-03
0.708861,0.012658,5.500625e-03
0.721519,0.012658,5.527191e-03
0.734177,0.012658,5.550601e-03
0.746835,0.012658,5.572239e-03
0.759494,0.012658,5.592135e-03
0.772152,0.012658,5.610290e-03
0.784810,0.012658,5.626703e-03
0.797468,0.012658,5.641508e-03
0.810127,0.012658,5.655326e-03
0.822785,0.012658,5.668238e-03
0.835443,0.012658,5.680241e-03
0.848101,0.012658,5.691337e-03
0.860759,0.012658,5.701528e-03
0.873418,0.012658,5.711056e-03
0.886076,0.012658,5.720062e-03
0.898734,0.012658,5.728546e-03
0.911392,0.012658,5.736509e-03
0.924051,0.012658,5.743950e-03
0.936709,0.012658,5.750907e-03
0.949367,0.012658,5.757529e-03
0.962025,0.012658,5.763830e-03
0.974684,0.012658,5.769811e-03
0.987342,0.012658,5.775471e-03
1.000000,0.012658,5.780811e-03
0.000000,0.025316,0.000000e+00
0.012658,0.025316,8.911545e-06
0.025316,0.025316,1.935363e-05
0.037975,0.025316,3.132627e-05
0.050633,0.025316,4.482944e-05
0.063291,0.025316,5.986316e-05
0.075949,0.025316,7.642743e-05
0.088608,0.025316,9.452224e-05
0.101266,0.025316,1.141476e-04
0.113924,0.025316,1.353035e-04
0.126582,0.025316,1.579899e-04
0.139241,0.025316,1.822069e-04
0.151899,0.025316,2.079544e-04
0.164557,0.025316,2.352325e-04
0.177215,0.025316,2.640411e-04
0.189873,0.025316,2.943803e-04
0.202532,0.025316,3.262500e-04
0.215190,0.025316,3.596502e-04
0.227848,0.025316,3.945810e-04
0.240506,0.025316,4.310424e-04
0.253165,0.025316,4.690343e-04
0.265823,0.025316,5.108791e-04
0.278481,0.025316,5.615817e-04
0.291139,0.025316,6.213121e-04
0.303797,0.025316,6.900701e-04
0.316456,0.025316,7.678559e-04
0.329114,0.025316,8.546693e-04
0.341772,0.025316,9.505104e-04
0.354430,0.025316,1.055379e-03
0.367089,0.025316,1.177691e-03
0.379747,0.025316,1.331921e-03
0.392405,0.025316,1.518318e-03
0.405063,0.025316,1.736884e-03
0.417722,0.025316,1.995935e-03
0.430380,0.025316,2.335364e-03
0.443038,0.025316,2.760390e-03
0.455696,0.025316,3.289172e-03
0.468354,0.025316,3.969684e-03
0.481013,0.025316,4.803047e-03
0.493671,0.025316,5.775133e-03
0.506329,0.025316,6.806392e-03
0.518987,0.025316,7.767826e-03
0.531646,0.025316,8.602628e-03
0.544304,0.025316,9.288194e-03
0.556962,0.025316,9.820400e-03
0.569620,0.025316,1.023175e-02
0.582278,0.025316,1.057519e-02
0.594937,0.025316,1.085148e-02
0.607595,0.025316,1.106201e-02
0.620253,0.025316,1.123779e-02
0.632911,0.025316,1.139151e-02
0.645570,0.025316,1.152319e-02
0.658228,0.025316,1.163282e-02
0.670886,0.025316,1.172478e-02
0.683544,0.025316,1.180799e-02
0.696203,0.025316,1.188271e-02
0.708861,0.025316,1.194894e-02
0.721519,0.025316,1.200668e-02
0.734177,0.025316,1.205755e-02
0.746835,0.025316,1.210457e-02
0.759494,0.025316,1.214780e-02
0.772152,0.025316,1.218724e-02
0.784810,0.025316,1.222290e-02
0.797468,0.025316,1.225505e-02
0.810127,0.025316,1.228506e-02
0.822785,0.025316,1.231310e-02
0.835443,0.025316,1.233917e-02
0.848101,0.025316,1.236327e-02
0.860759,0.025316,1.238540e-02
0.873418,0.025316,1.240608e-02
0.886076,0.025316,1.242564e-02
0.898734,0.025316,1.244406e-02
0.911392,0.025316,1.246135e-02
0.924051,0.025316,1.247751e-02
0.936709,0.025316,1.249261e-02
0.949367,0.025316,1.250699e-02
0.962025,0.025316,1.252066e-02
0.974684,0.025316,1.253364e-02
0.987342,0.025316,1.254593e-02
1.000000,0.025316,1.255751e-02
0.000000,0.037975,0.000000e+00
0.012658,0.037975,1.428878e-05
0.025316,0.037975,3.106054e-05
0.037975,0.037975,5.031527e-05
0.050633,0.037975,7.205299e-05
0.063291,0.037975,9.627369e-05
0.075949,0.037975,1.229774e-04
0.088608,0.037975,1.521640e-04
0.101266,0.037975,1.838337e-04
0.113924,0.037975,2.179863e-04
0.126582,0.037975,2.546219e-04
0.139241,0.037975,2.937404e-04
0.151899,0.037975,3.353420e-04
0.164557,0.037975,3.794265e-04
0.177215,0.037975,4.259940e-04
0.189873,0.037975,4.750445e-04
0.202532,0.037975,5.265780e-04
0.215190,0.037975,5.805944e-04
0.227848,0.037975,6.370939e-04
0.240506,0.037975,6.960763e-04
0.253165,0.037975,7.575417e-04
0.265823,0.037975,8.252540e-04
0.278481,0.037975,9.073247e-04
0.291139,0.037975,1.004029e-03
0.303797,0.037975,1.115367e-03
0.316456,0.037975,1.241339e-03
0.329114,0.037975,1.381945e-03
0.341772,0.037975,1.537184e-03
0.354430,0.037975,1.707057e-03
0.367089,0.037975,1.905194e-03
0.379747,0.037975,2.155039e-03
0.392405,0.037975,2.456997e-03
0.405063,0.037975,2.811070e-03
0.417722,0.037975,3.230710e-03
0.430380,0.037975,3.780450e-03
0.443038,0.037975,4.468735e-03
0.455696,0.037975,5.324920e-03
0.468354,0.037975,6.426571e-03
0.481013,0.037975,7.775480e-03
0.493671,0.037975,9.348766e-03
0.506329,0.037975,1.101776e-02
0.518987,0.037975,1.257382e-02
0.531646,0.037975,1.392508e-02
0.544304,0.037975,1.503492e-02
0.556962,0.037975,1.589667e-02
0.569620,0.037975,1.656288e-02
0.582278,0.037975,1.711916e-02
0.594937,0.037975,1.756673e-02
0.607595,0.037975,1.790784e-02
0.620253,0.037975,1.819267e-02
0.632911,0.037975,1.844177e-02
0.645570,0.037975,1.865514e-02
0.658228,0.037975,1.883277e-02
0.670886,0.037975,1.898178e-02
0.683544,0.037975,1.911659e-02
0.696203,0.037975,1.923764e-02
0.708861,0.037975,1.934493e-02
0.721519,0.037975,1.943845e-02
0.734177,0.037975,1.952085e-02
0.746835,0.037975,1.959699e-02
0.759494,0.037975,1.966699e-02
0.772152,0.037975,1.973086e-02
0.784810,0.037975,1.978858e-02
0.797468,0.037975,1.984063e-02
0.810127,0.037975,1.988921e-02
0.822785,0.037975,1.993460e-02
0.835443,0.037975,1.997679e-02
0.848101,0.037975,2.001579e-02
0.860759,0.037975,2.005160e-02
0.873418,0.037975,2.008508e-02
0.886076,0.037975,2.011673e-02
0.898734,0.037975,2.014654e-02
0.911392,0.037975,2.017452e-02
0.924051,0.037975,2.020067e-02
0.936709,0.037975,2.022511e-02
0.949367,0.037975,2.024837e-02
0.962025,0.037975,2.027050e-02
0.974684,0.037975,2.029150e-02
0.987342,0.037975,2.031136e-02
1.000000,0.037975,2.033010e-02
0.000000,0.050633,0.000000e+00
0.012658,0.050633,2.028032e-05
0.025316,0.050633,4.412083e-05
0.037975,0.050633,7.152153e-05
0.050633,0.050633,1.024824e-04
0.063291,0.050633,1.370035e-04
0.075949,0.050633,1.750848e-04
0.088608,0.050633,2.167262e-04
0.101266,0.050633,2.619279e-04
0.113924,0.050633,3.106897e-04
0.126582,0.050633,3.630118e-04
0.139241,0.050633,4.188940e-04
0.151899,0.050633,4.783364e-04
0.164557,0.050633,5.413390e-04
0.177215,0.050633,6.079018e-04
0.189873,0.050633,6.780248e-04
0.202532,0.050633,7.517080e-04
0.215190,0.050633,8.289514e-04
0.227848,0.050633,9.097549e-04
0.240506,0.050633,9.941187e-04
0.253165,0.050633,1.082043e-03
0.265823,0.050633,1.178919e-03
0.278481,0.050633,1.296369e-03
0.291139,0.050633,1.434787e-03
0.303797,0.050633,1.594172e-03
0.316456,0.050633,1.774526e-03
0.329114,0.050633,1.975847e-03
0.341772,0.050633,2.198136e-03
0.354430,0.050633,2.441393e-03
0.367089,0.050633,2.725134e-03
0.379747,0.050633,3.082928e-03
0.392405,0.050633,3.515356e-03
0.405063,0.050633,4.022417e-03
0.417722,0.050633,4.623355e-03
0.430380,0.050633,5.410472e-03
0.443038,0.050633,6.395846e-03
0.455696,0.050633,7.621444e-03
0.468354,0.050633,9.198154e-03
0.481013,0.050633,1.112852e-02
0.493671,0.050633,1.337978e-02
0.506329,0.050633,1.576790e-02
0.518987,0.050633,1.799455e-02
0.531646,0.050633,1.992829e-02
