epoch,train,val
1,4.976823e-01,4.785239e-01
2,4.593157e-01,4.642539e-01
3,4.449052e-01,4.493807e-01
4,4.242705e-01,4.295398e-01
5,4.063088e-01,4.112919e-01
6,3.891647e-01,3.975493e-01
7,3.774664e-01,3.873955e-01
8,3.713282e-01,3.879276e-01
9,3.679953e-01,3.848082e-01
10,3.605676e-01,3.766253e-01
11,3.571932e-01,3.674470e-01
12,3.486009e-01,3.621377e-01
13,3.432755e-01,3.554383e-01
14,3.361724e-01,3.446017e-01
15,3.232065e-01,3.371333e-01
16,3.148367e-01,3.244174e-01
17,3.080236e-01,3.088395e-01
18,2.934650e-01,2.939980e-01
19,2.878912e-01,2.893685e-01
20,2.804976e-01,2.832697e-01
21,2.744789e-01,2.719411e-01
22,2.644457e-01,2.600753e-01
23,2.591935e-01,2.609285e-01
24,2.601226e-01,2.561735e-01
25,2.509749e-01,2.561866e-01
26,2.500171e-01,2.403580e-01
27,2.401613e-01,2.547840e-01
28,2.395553e-01,2.311445e-01
29,2.391797e-01,2.379448e-01
30,2.394463e-01,2.303965e-01
31,2.396694e-01,2.343179e-01
32,2.291139e-01,2.274631e-01
33,2.265548e-01,2.323743e-01
34,2.255919e-01,2.213356e-01
35,2.262107e-01,2.208101e-01
36,2.232218e-01,2.366678e-01
37,2.252429e-01,2.163491e-01
38,2.197628e-01,2.182793e-01
39,2.199745e-01,2.440761e-01
40,2.194984e-01,2.409857e-01
41,2.197985e-01,2.164816e-01
42,2.165460e-01,2.179434e-01
43,2.181084e-01,2.219739e-01
44,2.193314e-01,2.139000e-01
45,2.163805e-01,2.130737e-01
46,2.194850e-01,2.370387e-01
47,2.219483e-01,2.137414e-01
48,2.147313e-01,2.143803e-01
49,2.154128e-01,2.260221e-01
50,2.186166e-01,2.273288e-01
51,2.216169e-01,2.330507e-01
52,2.143021e-01,2.136163e-01
53,2.148829e-01,2.294088e-01
54,2.143079e-01,2.147132e-01
55,2.125821e-01,2.246154e-01
56,2.116804e-01,2.103741e-01
57,2.133794e-01,2.103700e-01
58,2.136199e-01,2.091189e-01
59,2.115824e-01,2.112991e-01
60,2.134773e-01,2.178416e-01
61,2.107522e-01,2.140855e-01
62,2.125980e-01,2.238509e-01
63,2.106435e-01,2.085808e-01
64,2.132021e-01,2.080524e-01
65,2.123474e-01,2.103131e-01
66,2.119710e-01,2.113456e-01
67,2.123627e-01,2.169452e-01
68,2.087814e-01,2.080092e-01
69,2.103110e-01,2.120957e-01
70,2.103372e-01,2.088656e-01
71,2.119304e-01,2.164597e-01
