epoch,train,val
1,4.97682300e-01,4.78523900e-01
2,4.59315700e-01,4.64253900e-01
3,4.44905200e-01,4.49380700e-01
4,4.24270500e-01,4.29539800e-01
5,4.06308800e-01,4.11291900e-01
6,3.89164700e-01,3.97549300e-01
7,3.77466400e-01,3.87395500e-01
8,3.71328200e-01,3.87927600e-01
9,3.67995300e-01,3.84808200e-01
10,3.60567600e-01,3.76625300e-01
11,3.57193200e-01,3.67447000e-01
12,3.48600900e-01,3.62137700e-01
13,3.43275500e-01,3.55438300e-01
14,3.36172400e-01,3.44601700e-01
15,3.23206500e-01,3.37133300e-01
16,3.14836700e-01,3.24417400e-01
17,3.08023600e-01,3.08839500e-01
18,2.93465000e-01,2.93998000e-01
19,2.87891200e-01,2.89368500e-01
20,2.80497600e-01,2.83269700e-01
21,2.74478900e-01,2.71941100e-01
22,2.64445700e-01,2.60075300e-01
23,2.59193500e-01,2.60928500e-01
24,2.60122600e-01,2.56173500e-01
25,2.50974900e-01,2.56186600e-01
26,2.50017100e-01,2.40358000e-01
27,2.40161300e-01,2.54784000e-01
28,2.39555300e-01,2.31144500e-01
29,2.39179700e-01,2.37944800e-01
30,2.39446300e-01,2.30396500e-01
31,2.39669400e-01,2.34317900e-01
32,2.29113900e-01,2.27463100e-01
33,2.26554800e-01,2.32374300e-01
34,2.25591900e-01,2.21335600e-01
35,2.26210700e-01,2.20810100e-01
36,2.23221800e-01,2.36667800e-01
37,2.25242900e-01,2.16349100e-01
38,2.19762800e-01,2.18279300e-01
39,2.19974500e-01,2.44076100e-01
40,2.19498400e-01,2.40985700e-01
41,2.19798500e-01,2.16481600e-01
42,2.16546000e-01,2.17943400e-01
43,2.18108400e-01,2.21973900e-01
44,2.19331400e-01,2.13900000e-01
45,2.16380500e-01,2.13073700e-01
46,2.19485000e-01,2.37038700e-01
47,2.21948300e-01,2.13741400e-01
48,2.14731300e-01,2.14380300e-01
49,2.15412800e-01,2.26022100e-01
50,2.18616600e-01,2.27328800e-01
51,2.21616900e-01,2.33050700e-01
52,2.14302100e-01,2.13616300e-01
53,2.14882900e-01,2.29408800e-01
54,2.14307900e-01,2.14713200e-01
55,2.12582100e-01,2.24615400e-01
56,2.11680400e-01,2.10374100e-01
57,2.13379400e-01,2.10370000e-01
58,2.13619900e-01,2.09118900e-01
59,2.11582400e-01,2.11299100e-01
60,2.13477300e-01,2.17841600e-01
61,2.10752200e-01,2.14085500e-01
62,2.12598000e-01,2.23850900e-01
63,2.10643500e-01,2.08580800e-01
64,2.13202100e-01,2.08052400e-01
65,2.12347400e-01,2.10313100e-01
66,2.11971000e-01,2.11345600e-01
67,2.12362700e-01,2.16945200e-01
68,2.08781400e-01,2.08009200e-01
69,2.10311000e-01,2.12095700e-01
70,2.10337200e-01,2.08865600e-01
71,2.11930400e-01,2.16459700e-01
72,2.09379900e-01,2.09326000e-01
73,2.07797600e-01,2.13678600e-01
74,2.10331200e-01,2.08855800e-01
75,2.09235500e-01,2.09590600e-01
76,2.07853700e-01,2.05326300e-01
77,2.08736500e-01,2.11650400e-01
78,2.06790100e-01,2.10966300e-01
79,2.08717500e-01,2.05191200e-01
80,2.07626100e-01,2.17807600e-01
81,2.13391200e-01,2.10108000e-01
82,2.08214400e-01,2.09142900e-01
83,2.09411500e-01,2.08749700e-01
84,2.06757300e-01,2.09406700e-01
