p,N,method,err_med,err_p25,err_p75
2,4,positional,2.4464636898e-01,1.4445334985e-01,3.6047395562e-01
2,8,positional,4.7164639491e-02,3.0540340929e-02,6.4387693836e-02
2,16,positional,9.8403022085e-03,6.7379572432e-03,1.2813540291e-02
2,32,positional,2.3610452515e-03,1.6161927799e-03,3.0617897215e-03
2,64,positional,5.8587408711e-04,3.9950724490e-04,7.5751644319e-04
2,4,uniform,4.2968553048e-01,3.0150105453e-01,4.9782758222e-01
2,8,uniform,2.2284796226e-01,1.2299466031e-01,2.9113497129e-01
2,16,uniform,6.0925847900e-02,2.7746115528e-02,9.7201371524e-02
2,32,uniform,1.4435345096e-02,5.3248587457e-03,2.0483820107e-02
2,64,uniform,3.0919421965e-03,1.2377050009e-03,4.4215779616e-03
3,4,positional,1.6915210951e-01,1.0025519593e-01,2.4983185265e-01
3,8,positional,1.9022730299e-02,1.1147243891e-02,2.9684787639e-02
3,16,positional,1.6768756852e-03,9.8119528217e-04,2.2011333033e-03
3,32,positional,1.8563306320e-04,1.0987440178e-04,2.4296104873e-04
3,64,positional,2.2648399755e-05,1.3447155749e-05,2.9669397140e-05
3,4,uniform,3.8021727222e-01,2.4787144021e-01,4.5524712498e-01
3,8,uniform,1.6474772557e-01,8.7162764852e-02,2.3298981663e-01
3,16,uniform,3.5615779049e-02,1.4755810453e-02,7.1864474321e-02
3,32,uniform,5.8757444536e-03,9.8503686571e-04,1.0302363451e-02
3,64,uniform,3.9329913289e-04,9.1953775937e-05,7.1420712799e-04
