x,y,z
0.000000,0.000000,0.000000e+00
0.012500,0.000000,0.000000e+00
0.025000,0.000000,0.000000e+00
0.037500,0.000000,0.000000e+00
0.050000,0.000000,0.000000e+00
0.062500,0.000000,0.000000e+00
0.075000,0.000000,0.000000e+00
0.087500,0.000000,0.000000e+00
0.100000,0.000000,0.000000e+00
0.112500,0.000000,0.000000e+00
0.125000,0.000000,0.000000e+00
0.137500,0.000000,0.000000e+00
0.150000,0.000000,0.000000e+00
0.162500,0.000000,0.000000e+00
0.175000,0.000000,0.000000e+00
0.187500,0.000000,0.000000e+00
0.200000,0.000000,0.000000e+00
0.212500,0.000000,0.000000e+00
0.225000,0.000000,0.000000e+00
0.237500,0.000000,0.000000e+00
0.250000,0.000000,0.000000e+00
0.262500,0.000000,0.000000e+00
0.275000,0.000000,0.000000e+00
0.287500,0.000000,0.000000e+00
0.300000,0.000000,0.000000e+00
0.312500,0.000000,0.000000e+00
0.325000,0.000000,0.000000e+00
0.337500,0.000000,0.000000e+00
0.350000,0.000000,0.000000e+00
0.362500,0.000000,0.000000e+00
0.375000,0.000000,0.000000e+00
0.387500,0.000000,0.000000e+00
0.400000,0.000000,0.000000e+00
0.412500,0.000000,0.000000e+00
0.425000,0.000000,0.000000e+00
0.437500,0.000000,0.000000e+00
0.450000,0.000000,0.000000e+00
0.462500,0.000000,0.000000e+00
0.475000,0.000000,0.000000e+00
0.487500,0.000000,0.000000e+00
0.500000,0.000000,0.000000e+00
0.512500,0.000000,0.000000e+00
0.525000,0.000000,0.000000e+00
0.537500,0.000000,0.000000e+00
0.550000,0.000000,0.000000e+00
0.562500,0.000000,0.000000e+00
0.575000,0.000000,0.000000e+00
0.587500,0.000000,0.000000e+00
0.600000,0.000000,0.000000e+00
0.612500,0.000000,0.000000e+00
0.625000,0.000000,0.000000e+00
0.637500,0.000000,0.000000e+00
0.650000,0.000000,0.000000e+00
0.662500,0.000000,0.000000e+00
0.675000,0.000000,0.000000e+00
0.687500,0.000000,0.000000e+00
0.700000,0.000000,0.000000e+00
0.712500,0.000000,0.000000e+00
0.725000,0.000000,0.000000e+00
0.737500,0.000000,0.000000e+00
0.750000,0.000000,0.000000e+00
0.762500,0.000000,0.000000e+00
0.775000,0.000000,0.000000e+00
0.787500,0.000000,0.000000e+00
0.800000,0.000000,0.000000e+00
0.812500,0.000000,0.000000e+00
0.825000,0.000000,0.000000e+00
0.837500,0.000000,0.000000e+00
0.850000,0.000000,0.000000e+00
0.862500,0.000000,0.000000e+00
0.875000,0.000000,0.000000e+00
0.887500,0.000000,0.000000e+00
0.900000,0.000000,0.000000e+00
0.912500,0.000000,0.000000e+00
0.925000,0.000000,0.000000e+00
0.937500,0.000000,0.000000e+00
0.950000,0.000000,0.000000e+00
0.962500,0.000000,0.000000e+00
0.975000,0.000000,0.000000e+00
0.987500,0.000000,0.000000e+00
1.000000,0.000000,0.000000e+00
0.000000,0.012500,0.000000e+00
0.012500,0.012500,3.728037e-05
0.025000,0.012500,6.738000e-05
0.037500,0.012500,9.226634e-05
0.050000,0.012500,1.138739e-04
0.062500,0.012500,1.332876e-04
0.075000,0.012500,1.506884e-04
0.087500,0.012500,1.662135e-04
0.100000,0.012500,1.799998e-04
0.112500,0.012500,1.921845e-04
0.125000,0.012500,2.029047e-04
0.137500,0.012500,2.122974e-04
0.150000,0.012500,2.204998e-04
0.162500,0.012500,2.276489e-04
0.175000,0.012500,2.338532e-04
0.187500,0.012500,2.391285e-04
0.200000,0.012500,2.434717e-04
0.212500,0.012500,2.468796e-04
0.225000,0.012500,2.493493e-04
0.237500,0.012500,2.508775e-04
0.250000,0.012500,2.514611e-04
0.262500,0.012500,2.510972e-04
0.275000,0.012500,2.497825e-04
0.287500,0.012500,2.475140e-04
0.300000,0.012500,2.442885e-04
0.312500,0.012500,2.401030e-04
0.325000,0.012500,2.349474e-04
0.337500,0.012500,2.287705e-04
0.350000,0.012500,2.215064e-04
0.362500,0.012500,2.130890e-04
0.375000,0.012500,2.034523e-04
0.387500,0.012500,1.925304e-04
0.400000,0.012500,1.802572e-04
0.412500,0.012500,1.665668e-04
0.425000,0.012500,1.513910e-04
0.437500,0.012500,1.344804e-04
0.450000,0.012500,1.152656e-04
0.462500,0.012500,9.314496e-05
0.475000,0.012500,6.751571e-05
0.487500,0.012500,3.726248e-05
0.500000,0.012500,0.000000e+00
0.512500,0.012500,0.000000e+00
0.525000,0.012500,0.000000e+00
0.537500,0.012500,0.000000e+00
0.550000,0.012500,0.000000e+00
0.562500,0.012500,0.000000e+00
0.575000,0.012500,0.000000e+00
0.587500,0.012500,0.000000e+00
0.600000,0.012500,0.000000e+00
0.612500,0.012500,0.000000e+00
0.625000,0.012500,0.000000e+00
0.637500,0.012500,0.000000e+00
0.650000,0.012500,0.000000e+00
0.662500,0.012500,0.000000e+00
0.675000,0.012500,0.000000e+00
0.687500,0.012500,0.000000e+00
0.700000,0.012500,0.000000e+00
0.712500,0.012500,0.000000e+00
0.725000,0.012500,0.000000e+00
0.737500,0.012500,0.000000e+00
0.750000,0.012500,0.000000e+00
0.762500,0.012500,0.000000e+00
0.775000,0.012500,0.000000e+00
0.787500,0.012500,0.000000e+00
0.800000,0.012500,0.000000e+00
0.812500,0.012500,0.000000e+00
0.825000,0.012500,0.000000e+00
0.837500,0.012500,0.000000e+00
0.850000,0.012500,0.000000e+00
0.862500,0.012500,0.000000e+00
0.875000,0.012500,0.000000e+00
0.887500,0.012500,0.000000e+00
0.900000,0.012500,0.000000e+00
0.912500,0.012500,0.000000e+00
0.925000,0.012500,0.000000e+00
0.937500,0.012500,0.000000e+00
0.950000,0.012500,0.000000e+00
0.962500,0.012500,0.000000e+00
0.975000,0.012500,0.000000e+00
0.987500,0.012500,0.000000e+00
1.000000,0.012500,0.000000e+00
0.000000,0.025000,0.000000e+00
0.012500,0.025000,6.802396e-05
0.025000,0.025000,1.244801e-04
0.037500,0.025000,1.723090e-04
0.050000,0.025000,2.144023e-04
0.062500,0.025000,2.523991e-04
0.075000,0.025000,2.866054e-04
0.087500,0.025000,3.172622e-04
0.100000,0.025000,3.446107e-04
0.112500,0.025000,3.688922e-04
0.125000,0.025000,3.903477e-04
0.137500,0.025000,4.092185e-04
0.150000,0.025000,4.257457e-04
0.162500,0.025000,4.401705e-04
0.175000,0.025000,4.526841e-04
0.187500,0.025000,4.633149e-04
0.200000,0.025000,4.720584e-04
0.212500,0.025000,4.789102e-04
0.225000,0.025000,4.838657e-04
0.237500,0.025000,4.869204e-04
0.250000,0.025000,4.880699e-04
0.262500,0.025000,4.873096e-04
0.275000,0.025000,4.846351e-04
0.287500,0.025000,4.800419e-04
0.300000,0.025000,4.735254e-04
0.312500,0.025000,4.650812e-04
0.325000,0.025000,4.546916e-04
0.337500,0.025000,4.422621e-04
0.350000,0.025000,4.276703e-04
0.362500,0.025000,4.107938e-04
0.375000,0.025000,3.915101e-04
0.387500,0.025000,3.696970e-04
0.400000,0.025000,3.452318e-04
0.412500,0.025000,3.179924e-04
0.425000,0.025000,2.878529e-04
0.437500,0.025000,2.544027e-04
0.450000,0.025000,2.167294e-04
0.462500,0.025000,1.738693e-04
0.475000,0.025000,1.248575e-04
0.487500,0.025000,6.803570e-05
0.500000,0.025000,0.000000e+00
0.512500,0.025000,0.000000e+00
0.525000,0.025000,0.000000e+00
0.537500,0.025000,0.000000e+00
0.550000,0.025000,0.000000e+00
0.562500,0.025000,0.000000e+00
0.575000,0.025000,0.000000e+00
0.587500,0.025000,0.000000e+00
0.600000,0.025000,0.000000e+00
0.612500,0.025000,0.000000e+00
0.625000,0.025000,0.000000e+00
0.637500,0.025000,0.000000e+00
0.650000,0.025000,0.000000e+00
0.662500,0.025000,0.000000e+00
0.675000,0.025000,0.000000e+00
0.687500,0.025000,0.000000e+00
0.700000,0.025000,0.000000e+00
0.712500,0.025000,0.000000e+00
0.725000,0.025000,0.000000e+00
0.737500,0.025000,0.000000e+00
0.750000,0.025000,0.000000e+00
0.762500,0.025000,0.000000e+00
0.775000,0.025000,0.000000e+00
0.787500,0.025000,0.000000e+00
0.800000,0.025000,0.000000e+00
0.812500,0.025000,0.000000e+00
0.825000,0.025000,0.000000e+00
0.837500,0.025000,0.000000e+00
0.850000,0.025000,0.000000e+00
0.862500,0.025000,0.000000e+00
0.875000,0.025000,0.000000e+00
0.887500,0.025000,0.000000e+00
0.900000,0.025000,0.000000e+00
0.912500,0.025000,0.000000e+00
0.925000,0.025000,0.000000e+00
0.937500,0.025000,0.000000e+00
0.950000,0.025000,0.000000e+00
0.962500,0.025000,0.000000e+00
0.975000,0.025000,0.000000e+00
0.987500,0.025000,0.000000e+00
1.000000,0.025000,0.000000e+00
0.000000,0.037500,0.000000e+00
0.012500,0.037500,9.352173e-05
0.025000,0.037500,1.731909e-04
0.037500,0.037500,2.421884e-04
0.050000,0.037500,3.036434e-04
0.062500,0.037500,3.593561e-04
0.075000,0.037500,4.097121e-04
0.087500,0.037500,4.550286e-04
0.100000,0.037500,4.956225e-04
0.112500,0.037500,5.318111e-04
0.125000,0.037500,5.639113e-04
0.137500,0.037500,5.922403e-04
0.150000,0.037500,6.171152e-04
0.162500,0.037500,6.388530e-04
0.175000,0.037500,6.577053e-04
0.187500,0.037500,6.737105e-04
0.200000,0.037500,6.868641e-04
0.212500,0.037500,6.971614e-04
0.225000,0.037500,7.045976e-04
0.237500,0.037500,7.091681e-04
0.250000,0.037500,7.108683e-04
0.262500,0.037500,7.096934e-04
0.275000,0.037500,7.056388e-04
0.287500,0.037500,6.986997e-04
0.300000,0.037500,6.888717e-04
0.312500,0.037500,6.761498e-04
0.325000,0.037500,6.605111e-04
0.337500,0.037500,6.418250e-04
0.350000,0.037500,6.199217e-04
0.362500,0.037500,5.946317e-04
0.375000,0.037500,5.657852e-04
0.387500,0.037500,5.332127e-04
0.400000,0.037500,4.967444e-04
0.412500,0.037500,4.562107e-04
0.425000,0.037500,4.114381e-04
0.437500,0.037500,3.619246e-04
0.450000,0.037500,3.065893e-04
0.462500,0.037500,2.442922e-04
0.475000,0.037500,1.738925e-04
0.487500,0.037500,9.360813e-05
0.500000,0.037500,0.000000e+00
0.512500,0.037500,0.000000e+00
0.525000,0.037500,0.000000e+00
0.537500,0.037500,0.000000e+00
0.550000,0.037500,0.000000e+00
0.562500,0.037500,0.000000e+00
0.575000,0.037500,0.000000e+00
0.587500,0.037500,0.000000e+00
0.600000,0.037500,0.000000e+00
0.612500,0.037500,0.000000e+00
0.625000,0.037500,0.000000e+00
0.637500,0.037500,0.000000e+00
0.650000,0.037500,0.000000e+00
0.662500,0.037500,0.000000e+00
0.675000,0.037500,0.000000e+00
0.687500,0.037500,0.000000e+00
0.700000,0.037500,0.000000e+00
0.712500,0.037500,0.000000e+00
0.725000,0.037500,0.000000e+00
0.737500,0.037500,0.000000e+00
0.750000,0.037500,0.000000e+00
0.762500,0.037500,0.000000e+00
0.775000,0.037500,0.000000e+00
0.787500,0.037500,0.000000e+00
0.800000,0.037500,0.000000e+00
0.812500,0.037500,0.000000e+00
0.825000,0.037500,0.000000e+00
0.837500,0.037500,0.000000e+00
0.850000,0.037500,0.000000e+00
0.862500,0.037500,0.000000e+00
0.875000,0.037500,0.000000e+00
0.887500,0.037500,0.000000e+00
0.900000,0.037500,0.000000e+00
0.912500,0.037500,0.000000e+00
0.925000,0.037500,0.000000e+00
0.937500,0.037500,0.000000e+00
0.950000,0.037500,0.000000e+00
0.962500,0.037500,0.000000e+00
0.975000,0.037500,0.000000e+00
0.987500,0.037500,0.000000e+00
1.000000,0.037500,0.000000e+00
0.000000,0.050000,0.000000e+00
0.012500,0.050000,1.150647e-04
0.025000,0.050000,2.154030e-04
0.037500,0.050000,3.039653e-04
0.050000,0.050000,3.836556e-04
0.062500,0.050000,4.561800e-04
0.075000,0.050000,5.219700e-04
0.087500,0.050000,5.813951e-04
0.100000,0.050000,6.348250e-04
0.112500,0.050000,6.826294e-04
0.125000,0.050000,7.251779e-04
0.137500,0.050000,7.628401e-04
0.150000,0.050000,7.959857e-04
0.162500,0.050000,8.249842e-04
0.175000,0.050000,8.501292e-04
0.187500,0.050000,8.714668e-04
0.200000,0.050000,8.889927e-04
0.212500,0.050000,9.027030e-04
0.225000,0.050000,9.125934e-04
0.237500,0.050000,9.186598e-04
0.250000,0.050000,9.208982e-04
0.262500,0.050000,9.193043e-04
0.275000,0.050000,9.138741e-04
0.287500,0.050000,9.046034e-04
0.300000,0.050000,8.914882e-04
0.312500,0.050000,8.745242e-04
0.325000,0.050000,8.536846e-04
0.337500,0.050000,8.288095e-04
0.350000,0.050000,7.996907e-04
0.362500,0.050000,7.661200e-04
0.375000,0.050000,7.278894e-04
0.387500,0.050000,6.847906e-04
0.400000,0.050000,6.366154e-04
0.412500,0.050000,5.831556e-04
0.425000,0.050000,5.241994e-04
0.437500,0.050000,4.592038e-04
0.450000,0.050000,3.870433e-04
0.462500,0.050000,3.065332e-04
0.475000,0.050000,2.164877e-04
0.487500,0.050000,1.152682e-04
0.500000,0.050000,0.000000e+00
0.512500,0.050000,0.000000e+00
0.525000,0.050000,0.000000e+00
0.537500,0.050000,0.000000e+00
0.550000,0.050000,0.000000e+00
0.562500,0.050000,0.000000e+00
0.575000,0.050000,0.000000e+00
0.587500,0.050000,0.000000e+00
0.600000,0.050000,0.000000e+00
0.612500,0.050000,0.000000e+00
0.625000,0.050000,0.000000e+00
0.637500,0.050000,0.000000e+00
0.650000,0.050000,0.000000e+00
0.662500,0.050000,0.000000e+00
0.675000,0.050000,0.000000e+00
0.687500,0.050000,0.000000e+00
0.700000,0.050000,0.000000e+00
0.712500,0.050000,0.000000e+00
0.725000,0.050000,0.000000e+00
0.737500,0.050000,0.000000e+00
0.750000,0.050000,0.000000e+00
0.762500,0.050000,0.000000e+00
0.775000,0.050000,0.000000e+00
0.787500,0.050000,0.000000e+00
0.800000,0.050000,0.000000e+00
0.812500,0.050000,0.000000e+00
0.825000,0.050000,0.000000e+00
0.837500,0.050000,0.000000e+00
0.850000,0.050000,0.000000e+00
