x,y,z,logz
0.250000,0.250000,5.236388e-02,-1.280968e+00
0.256250,0.250000,5.250396e-02,-1.279808e+00
0.262500,0.250000,5.310181e-02,-1.274891e+00
0.268750,0.250000,5.415311e-02,-1.266377e+00
0.275000,0.250000,5.564314e-02,-1.254588e+00
0.281250,0.250000,5.754881e-02,-1.239964e+00
0.287500,0.250000,5.984138e-02,-1.222998e+00
0.293750,0.250000,6.248910e-02,-1.204196e+00
0.300000,0.250000,6.545956e-02,-1.184027e+00
0.306250,0.250000,6.872140e-02,-1.162908e+00
0.312500,0.250000,7.224544e-02,-1.141190e+00
0.318750,0.250000,7.600524e-02,-1.119156e+00
0.325000,0.250000,7.997735e-02,-1.097033e+00
0.331250,0.250000,8.414128e-02,-1.074991e+00
0.337500,0.250000,8.847925e-02,-1.053159e+00
0.343750,0.250000,9.297601e-02,-1.031629e+00
0.350000,0.250000,9.761846e-02,-1.010468e+00
0.356250,0.250000,1.023954e-01,-9.897194e-01
0.362500,0.250000,1.072974e-01,-9.694109e-01
0.368750,0.250000,1.123162e-01,-9.495577e-01
0.375000,0.250000,1.174448e-01,-9.301661e-01
0.381250,0.250000,1.226774e-01,-9.112353e-01
0.387500,0.250000,1.280089e-01,-8.927600e-01
0.393750,0.250000,1.334348e-01,-8.747310e-01
0.400000,0.250000,1.389514e-01,-8.571371e-01
0.406250,0.250000,1.445556e-01,-8.399652e-01
0.412500,0.250000,1.502614e-01,-8.231526e-01
0.418750,0.250000,1.560799e-01,-8.066530e-01
0.425000,0.250000,1.620100e-01,-7.904582e-01
0.431250,0.250000,1.680502e-01,-7.745609e-01
0.437500,0.250000,1.741990e-01,-7.589543e-01
0.443750,0.250000,1.804545e-01,-7.436324e-01
0.450000,0.250000,1.868145e-01,-7.285895e-01
0.456250,0.250000,1.932768e-01,-7.138204e-01
0.462500,0.250000,1.998390e-01,-6.993197e-01
0.468750,0.250000,2.064987e-01,-6.850827e-01
0.475000,0.250000,2.132470e-01,-6.711170e-01
0.481250,0.250000,2.199572e-01,-6.576617e-01
0.487500,0.250000,2.265783e-01,-6.447818e-01
0.493750,0.250000,2.331107e-01,-6.324378e-01
0.500000,0.250000,0.000000e+00,-1.200000e+01
0.506250,0.250000,0.000000e+00,-1.200000e+01
0.512500,0.250000,0.000000e+00,-1.200000e+01
0.518750,0.250000,0.000000e+00,-1.200000e+01
0.525000,0.250000,0.000000e+00,-1.200000e+01
0.531250,0.250000,0.000000e+00,-1.200000e+01
0.537500,0.250000,0.000000e+00,-1.200000e+01
0.543750,0.250000,0.000000e+00,-1.200000e+01
0.550000,0.250000,0.000000e+00,-1.200000e+01
0.556250,0.250000,0.000000e+00,-1.200000e+01
0.562500,0.250000,0.000000e+00,-1.200000e+01
0.568750,0.250000,0.000000e+00,-1.200000e+01
0.575000,0.250000,0.000000e+00,-1.200000e+01
0.581250,0.250000,0.000000e+00,-1.200000e+01
0.587500,0.250000,0.000000e+00,-1.200000e+01
0.593750,0.250000,0.000000e+00,-1.200000e+01
0.600000,0.250000,0.000000e+00,-1.200000e+01
0.606250,0.250000,0.000000e+00,-1.200000e+01
0.612500,0.250000,0.000000e+00,-1.200000e+01
0.618750,0.250000,0.000000e+00,-1.200000e+01
0.625000,0.250000,0.000000e+00,-1.200000e+01
0.631250,0.250000,0.000000e+00,-1.200000e+01
0.637500,0.250000,0.000000e+00,-1.200000e+01
0.643750,0.250000,0.000000e+00,-1.200000e+01
0.650000,0.250000,0.000000e+00,-1.200000e+01
0.656250,0.250000,0.000000e+00,-1.200000e+01
0.662500,0.250000,0.000000e+00,-1.200000e+01
0.668750,0.250000,0.000000e+00,-1.200000e+01
0.675000,0.250000,0.000000e+00,-1.200000e+01
0.681250,0.250000,0.000000e+00,-1.200000e+01
0.687500,0.250000,0.000000e+00,-1.200000e+01
0.693750,0.250000,0.000000e+00,-1.200000e+01
0.700000,0.250000,0.000000e+00,-1.200000e+01
0.706250,0.250000,0.000000e+00,-1.200000e+01
0.712500,0.250000,0.000000e+00,-1.200000e+01
0.718750,0.250000,0.000000e+00,-1.200000e+01
0.725000,0.250000,0.000000e+00,-1.200000e+01
0.731250,0.250000,0.000000e+00,-1.200000e+01
0.737500,0.250000,0.000000e+00,-1.200000e+01
0.743750,0.250000,0.000000e+00,-1.200000e+01
0.750000,0.250000,0.000000e+00,-1.200000e+01
0.250000,0.256250,5.090225e-02,-1.293263e+00
0.256250,0.256250,5.104635e-02,-1.292035e+00
0.262500,0.256250,5.168237e-02,-1.286658e+00
0.268750,0.256250,5.280356e-02,-1.277337e+00
0.275000,0.256250,5.439102e-02,-1.264473e+00
0.281250,0.256250,5.641646e-02,-1.248594e+00
0.287500,0.256250,5.884567e-02,-1.230285e+00
0.293750,0.256250,6.164173e-02,-1.210125e+00
0.300000,0.256250,6.476776e-02,-1.188641e+00
0.306250,0.256250,6.818879e-02,-1.166287e+00
0.312500,0.256250,7.187286e-02,-1.143435e+00
0.318750,0.256250,7.579150e-02,-1.120380e+00
0.325000,0.256250,7.991985e-02,-1.097345e+00
0.331250,0.256250,8.423647e-02,-1.074500e+00
0.337500,0.256250,8.872302e-02,-1.051964e+00
0.343750,0.256250,9.336389e-02,-1.029821e+00
0.350000,0.256250,9.814587e-02,-1.008128e+00
0.356250,0.256250,1.030578e-01,-9.869193e-01
0.362500,0.256250,1.080901e-01,-9.662142e-01
0.368750,0.256250,1.132348e-01,-9.460202e-01
0.375000,0.256250,1.184851e-01,-9.263363e-01
0.381250,0.256250,1.238352e-01,-9.071558e-01
0.387500,0.256250,1.292803e-01,-8.884678e-01
0.393750,0.256250,1.348160e-01,-8.702586e-01
0.400000,0.256250,1.404389e-01,-8.525126e-01
0.406250,0.256250,1.461459e-01,-8.352133e-01
0.412500,0.256250,1.519470e-01,-8.183079e-01
0.418750,0.256250,1.578501e-01,-8.017552e-01
0.425000,0.256250,1.638541e-01,-7.855427e-01
0.431250,0.256250,1.699578e-01,-7.696589e-01
0.437500,0.256250,1.761597e-01,-7.540935e-01
0.443750,0.256250,1.824579e-01,-7.388373e-01
0.450000,0.256250,1.888505e-01,-7.238817e-01
0.456250,0.256250,1.953355e-01,-7.092187e-01
0.462500,0.256250,2.019106e-01,-6.948408e-01
0.468750,0.256250,2.085735e-01,-6.807409e-01
0.475000,0.256250,2.153175e-01,-6.669207e-01
0.481250,0.256250,2.220583e-01,-6.535330e-01
0.487500,0.256250,2.287612e-01,-6.406177e-01
0.493750,0.256250,2.354266e-01,-6.281445e-01
0.500000,0.256250,0.000000e+00,-1.200000e+01
0.506250,0.256250,0.000000e+00,-1.200000e+01
0.512500,0.256250,0.000000e+00,-1.200000e+01
0.518750,0.256250,0.000000e+00,-1.200000e+01
0.525000,0.256250,0.000000e+00,-1.200000e+01
0.531250,0.256250,0.000000e+00,-1.200000e+01
0.537500,0.256250,0.000000e+00,-1.200000e+01
0.543750,0.256250,0.000000e+00,-1.200000e+01
0.550000,0.256250,0.000000e+00,-1.200000e+01
0.556250,0.256250,0.000000e+00,-1.200000e+01
0.562500,0.256250,0.000000e+00,-1.200000e+01
0.568750,0.256250,0.000000e+00,-1.200000e+01
0.575000,0.256250,0.000000e+00,-1.200000e+01
0.581250,0.256250,0.000000e+00,-1.200000e+01
0.587500,0.256250,0.000000e+00,-1.200000e+01
0.593750,0.256250,0.000000e+00,-1.200000e+01
0.600000,0.256250,0.000000e+00,-1.200000e+01
0.606250,0.256250,0.000000e+00,-1.200000e+01
0.612500,0.256250,0.000000e+00,-1.200000e+01
0.618750,0.256250,0.000000e+00,-1.200000e+01
0.625000,0.256250,0.000000e+00,-1.200000e+01
0.631250,0.256250,0.000000e+00,-1.200000e+01
0.637500,0.256250,0.000000e+00,-1.200000e+01
0.643750,0.256250,0.000000e+00,-1.200000e+01
0.650000,0.256250,0.000000e+00,-1.200000e+01
0.656250,0.256250,0.000000e+00,-1.200000e+01
0.662500,0.256250,0.000000e+00,-1.200000e+01
0.668750,0.256250,0.000000e+00,-1.200000e+01
0.675000,0.256250,0.000000e+00,-1.200000e+01
0.681250,0.256250,0.000000e+00,-1.200000e+01
0.687500,0.256250,0.000000e+00,-1.200000e+01
0.693750,0.256250,0.000000e+00,-1.200000e+01
0.700000,0.256250,0.000000e+00,-1.200000e+01
0.706250,0.256250,0.000000e+00,-1.200000e+01
0.712500,0.256250,0.000000e+00,-1.200000e+01
0.718750,0.256250,0.000000e+00,-1.200000e+01
0.725000,0.256250,0.000000e+00,-1.200000e+01
0.731250,0.256250,0.000000e+00,-1.200000e+01
0.737500,0.256250,0.000000e+00,-1.200000e+01
0.743750,0.256250,0.000000e+00,-1.200000e+01
0.750000,0.256250,0.000000e+00,-1.200000e+01
0.250000,0.262500,4.948173e-02,-1.305555e+00
0.256250,0.262500,4.962958e-02,-1.304259e+00
0.262500,0.262500,5.030447e-02,-1.298393e+00
0.268750,0.262500,5.149690e-02,-1.288219e+00
0.275000,0.262500,5.318332e-02,-1.274225e+00
0.281250,0.262500,5.532975e-02,-1.257041e+00
0.287500,0.262500,5.789607e-02,-1.237351e+00
0.293750,0.262500,6.083999e-02,-1.215811e+00
0.300000,0.262500,6.412011e-02,-1.193006e+00
0.306250,0.262500,6.769789e-02,-1.169425e+00
0.312500,0.262500,7.153872e-02,-1.145459e+00
0.318750,0.262500,7.561230e-02,-1.121408e+00
0.325000,0.262500,7.989254e-02,-1.097494e+00
0.331250,0.262500,8.435720e-02,-1.073878e+00
0.337500,0.262500,8.898752e-02,-1.050671e+00
0.343750,0.262500,9.376767e-02,-1.027947e+00
0.350000,0.262500,9.868439e-02,-1.005752e+00
