x,y,z,logz
0.250000,0.250000,5.172435e-02,-1.286305e+00
0.256250,0.250000,5.190778e-02,-1.284768e+00
0.262500,0.250000,5.257786e-02,-1.279197e+00
0.268750,0.250000,5.371632e-02,-1.269894e+00
0.275000,0.250000,5.529446e-02,-1.257318e+00
0.281250,0.250000,5.727649e-02,-1.242024e+00
0.287500,0.250000,5.962294e-02,-1.224587e+00
0.293750,0.250000,6.229367e-02,-1.205556e+00
0.300000,0.250000,6.525014e-02,-1.185419e+00
0.306250,0.250000,6.845678e-02,-1.164584e+00
0.312500,0.250000,7.188173e-02,-1.143382e+00
0.318750,0.250000,7.576154e-02,-1.120551e+00
0.325000,0.250000,7.982689e-02,-1.097851e+00
0.331250,0.250000,8.405302e-02,-1.075447e+00
0.337500,0.250000,8.841918e-02,-1.053453e+00
0.343750,0.250000,9.290803e-02,-1.031947e+00
0.350000,0.250000,9.750511e-02,-1.010973e+00
0.356250,0.250000,1.021984e-01,-9.905560e-01
0.362500,0.250000,1.069778e-01,-9.707062e-01
0.368750,0.250000,1.118351e-01,-9.514218e-01
0.375000,0.250000,1.167633e-01,-9.326936e-01
0.381250,0.250000,1.221970e-01,-9.129394e-01
0.387500,0.250000,1.277050e-01,-8.937923e-01
0.393750,0.250000,1.332797e-01,-8.752358e-01
0.400000,0.250000,1.389152e-01,-8.572502e-01
0.406250,0.250000,1.446061e-01,-8.398133e-01
0.412500,0.250000,1.503480e-01,-8.229024e-01
0.418750,0.250000,1.561371e-01,-8.064940e-01
0.425000,0.250000,1.619700e-01,-7.905653e-01
0.431250,0.250000,1.678442e-01,-7.750937e-01
0.437500,0.250000,1.737571e-01,-7.600574e-01
0.443750,0.250000,1.802647e-01,-7.440892e-01
0.450000,0.250000,1.868104e-01,-7.285990e-01
0.456250,0.250000,1.933914e-01,-7.135628e-01
0.462500,0.250000,2.000055e-01,-6.989581e-01
0.468750,0.250000,2.066506e-01,-6.847633e-01
0.475000,0.250000,2.133250e-01,-6.709583e-01
0.481250,0.250000,2.200271e-01,-6.575238e-01
0.487500,0.250000,2.267557e-01,-6.444419e-01
0.493750,0.250000,2.335094e-01,-6.316956e-01
0.500000,0.250000,0.000000e+00,-1.200000e+01
0.506250,0.250000,0.000000e+00,-1.200000e+01
0.512500,0.250000,0.000000e+00,-1.200000e+01
0.518750,0.250000,0.000000e+00,-1.200000e+01
0.525000,0.250000,0.000000e+00,-1.200000e+01
0.531250,0.250000,0.000000e+00,-1.200000e+01
0.537500,0.250000,0.000000e+00,-1.200000e+01
0.543750,0.250000,0.000000e+00,-1.200000e+01
0.550000,0.250000,0.000000e+00,-1.200000e+01
0.556250,0.250000,0.000000e+00,-1.200000e+01
0.562500,0.250000,0.000000e+00,-1.200000e+01
0.568750,0.250000,0.000000e+00,-1.200000e+01
0.575000,0.250000,0.000000e+00,-1.200000e+01
0.581250,0.250000,0.000000e+00,-1.200000e+01
0.587500,0.250000,0.000000e+00,-1.200000e+01
