epoch,train,val
1,5.02821100e-01,5.01253800e-01
2,4.97540100e-01,4.94363900e-01
3,4.90351500e-01,4.88523200e-01
4,4.84431000e-01,4.83996900e-01
5,4.79701700e-01,4.80275300e-01
6,4.76476300e-01,4.76996700e-01
7,4.72607400e-01,4.74148200e-01
8,4.69481000e-01,4.71657500e-01
9,4.66630500e-01,4.69450500e-01
10,4.63910900e-01,4.67139500e-01
11,4.61208100e-01,4.64312600e-01
12,4.58467200e-01,4.60762300e-01
13,4.54114100e-01,4.56940900e-01
14,4.49702600e-01,4.52742600e-01
15,4.45998100e-01,4.48987400e-01
16,4.42237200e-01,4.45693700e-01
17,4.39467400e-01,4.43142700e-01
18,4.37411600e-01,4.41007500e-01
19,4.36122800e-01,4.39152000e-01
20,4.34503800e-01,4.37054600e-01
21,4.33571900e-01,4.35417600e-01
22,4.32270600e-01,4.33879200e-01
23,4.31599900e-01,4.32638700e-01
24,4.30617700e-01,4.31868100e-01
25,4.29672400e-01,4.30732800e-01
26,4.29211100e-01,4.29751800e-01
27,4.28917100e-01,4.29148600e-01
28,4.28474800e-01,4.28532200e-01
29,4.28200900e-01,4.28320100e-01
30,4.27422500e-01,4.27724200e-01
31,4.27901200e-01,4.27684100e-01
32,4.27252600e-01,4.27315900e-01
33,4.27201100e-01,4.27149900e-01
34,4.26934800e-01,4.26867800e-01
35,4.27075600e-01,4.26708200e-01
36,4.26567500e-01,4.26676100e-01
37,4.26552200e-01,4.26492500e-01
38,4.26542700e-01,4.26439400e-01
39,4.26409500e-01,4.26426700e-01
40,4.26355000e-01,4.26288600e-01
41,4.26262400e-01,4.26262100e-01
42,4.26347900e-01,4.26322600e-01
43,4.26490100e-01,4.26305800e-01
44,4.26330400e-01,4.26226800e-01
45,4.26073300e-01,4.26235500e-01
46,4.26213700e-01,4.26181200e-01
47,4.26084200e-01,4.26097100e-01
48,4.26360700e-01,4.26153300e-01
49,4.26302700e-01,4.26084300e-01
50,4.26405100e-01,4.26108400e-01
51,4.26307300e-01,4.26033300e-01
52,4.26225200e-01,4.26039000e-01
53,4.26485500e-01,4.26018400e-01
54,4.26439900e-01,4.26019200e-01
55,4.26336300e-01,4.26013300e-01
56,4.25946600e-01,4.25945900e-01
57,4.26755000e-01,4.25952800e-01
58,4.26323700e-01,4.25955700e-01
59,4.26224900e-01,4.25957900e-01
