epoch,train,val
1,8.045337e-02,7.163922e-02
2,6.303537e-02,5.500653e-02
3,4.917731e-02,4.580217e-02
4,4.318607e-02,4.169668e-02
5,3.992613e-02,3.951130e-02
6,3.776404e-02,3.779459e-02
7,3.641284e-02,3.661675e-02
8,3.540315e-02,3.568625e-02
9,3.441342e-02,3.486232e-02
10,3.371554e-02,3.421108e-02
11,3.307221e-02,3.382507e-02
12,3.276030e-02,3.311030e-02
13,3.198624e-02,3.266544e-02
14,3.166671e-02,3.231724e-02
15,3.108819e-02,3.214309e-02
16,3.098736e-02,3.160296e-02
17,3.039996e-02,3.131948e-02
18,2.996157e-02,3.091012e-02
19,2.968829e-02,3.068568e-02
20,2.947182e-02,3.041312e-02
21,2.944648e-02,3.019522e-02
22,2.895557e-02,2.998349e-02
23,2.889686e-02,2.982362e-02
24,2.875708e-02,2.961230e-02
25,2.841748e-02,2.947505e-02
26,2.825828e-02,2.924033e-02
27,2.810394e-02,2.911338e-02
28,2.794430e-02,2.894393e-02
29,2.786471e-02,2.881842e-02
30,2.748084e-02,2.872823e-02
31,2.746572e-02,2.856218e-02
32,2.746220e-02,2.857833e-02
33,2.715963e-02,2.835429e-02
34,2.717783e-02,2.828363e-02
35,2.704339e-02,2.829540e-02
36,2.673685e-02,2.813377e-02
37,2.678245e-02,2.801391e-02
38,2.670018e-02,2.789419e-02
39,2.662610e-02,2.783613e-02
40,2.649236e-02,2.781105e-02
41,2.633409e-02,2.768547e-02
42,2.658368e-02,2.771427e-02
43,2.639047e-02,2.758666e-02
44,2.635659e-02,2.747398e-02
45,2.622012e-02,2.742213e-02
46,2.613727e-02,2.733268e-02
47,2.598174e-02,2.729371e-02
48,2.621872e-02,2.737829e-02
49,2.596639e-02,2.719054e-02
50,2.605535e-02,2.715405e-02
51,2.576290e-02,2.710338e-02
52,2.577646e-02,2.703358e-02
53,2.584607e-02,2.695691e-02
54,2.581714e-02,2.694661e-02
55,2.562479e-02,2.689164e-02
56,2.546001e-02,2.691626e-02
57,2.574384e-02,2.693035e-02
58,2.559435e-02,2.686006e-02
59,2.548781e-02,2.685126e-02
60,2.543086e-02,2.672167e-02
61,2.526452e-02,2.673782e-02
62,2.533466e-02,2.674387e-02
63,2.557285e-02,2.671500e-02
64,2.537425e-02,2.669244e-02
65,2.529713e-02,2.660185e-02
66,2.528356e-02,2.657553e-02
67,2.516967e-02,2.659459e-02
68,2.531046e-02,2.656849e-02
69,2.509131e-02,2.652432e-02
70,2.513955e-02,2.647003e-02
71,2.517918e-02,2.647008e-02
72,2.521342e-02,2.642951e-02
73,2.495071e-02,2.640022e-02
74,2.511719e-02,2.637470e-02
75,2.493800e-02,2.636185e-02
76,2.501584e-02,2.635609e-02
77,2.496470e-02,2.637680e-02
78,2.506889e-02,2.632987e-02
79,2.496232e-02,2.627949e-02
80,2.489285e-02,2.635944e-02
81,2.508736e-02,2.628964e-02
82,2.497044e-02,2.626771e-02
83,2.497204e-02,2.621901e-02
84,2.498594e-02,2.622729e-02
