x,y,z
0.000000,0.000000,0.000000e+00
0.012500,0.000000,0.000000e+00
0.025000,0.000000,0.000000e+00
0.037500,0.000000,0.000000e+00
0.050000,0.000000,0.000000e+00
0.062500,0.000000,0.000000e+00
0.075000,0.000000,0.000000e+00
0.087500,0.000000,0.000000e+00
0.100000,0.000000,0.000000e+00
0.112500,0.000000,0.000000e+00
0.125000,0.000000,0.000000e+00
0.137500,0.000000,0.000000e+00
0.150000,0.000000,0.000000e+00
0.162500,0.000000,0.000000e+00
0.175000,0.000000,0.000000e+00
0.187500,0.000000,0.000000e+00
0.200000,0.000000,0.000000e+00
0.212500,0.000000,0.000000e+00
0.225000,0.000000,0.000000e+00
0.237500,0.000000,0.000000e+00
0.250000,0.000000,0.000000e+00
0.262500,0.000000,0.000000e+00
0.275000,0.000000,0.000000e+00
0.287500,0.000000,0.000000e+00
0.300000,0.000000,0.000000e+00
0.312500,0.000000,0.000000e+00
0.325000,0.000000,0.000000e+00
0.337500,0.000000,0.000000e+00
0.350000,0.000000,0.000000e+00
0.362500,0.000000,0.000000e+00
0.375000,0.000000,0.000000e+00
0.387500,0.000000,0.000000e+00
0.400000,0.000000,0.000000e+00
0.412500,0.000000,0.000000e+00
0.425000,0.000000,0.000000e+00
0.437500,0.000000,0.000000e+00
0.450000,0.000000,0.000000e+00
0.462500,0.000000,0.000000e+00
0.475000,0.000000,0.000000e+00
0.487500,0.000000,0.000000e+00
0.500000,0.000000,0.000000e+00
0.512500,0.000000,0.000000e+00
0.525000,0.000000,0.000000e+00
0.537500,0.000000,0.000000e+00
0.550000,0.000000,0.000000e+00
0.562500,0.000000,0.000000e+00
0.575000,0.000000,0.000000e+00
0.587500,0.000000,0.000000e+00
0.600000,0.000000,0.000000e+00
0.612500,0.000000,0.000000e+00
0.625000,0.000000,0.000000e+00
0.637500,0.000000,0.000000e+00
0.650000,0.000000,0.000000e+00
0.662500,0.000000,0.000000e+00
0.675000,0.000000,0.000000e+00
0.687500,0.000000,0.000000e+00
0.700000,0.000000,0.000000e+00
0.712500,0.000000,0.000000e+00
0.725000,0.000000,0.000000e+00
0.737500,0.000000,0.000000e+00
0.750000,0.000000,0.000000e+00
0.762500,0.000000,0.000000e+00
0.775000,0.000000,0.000000e+00
0.787500,0.000000,0.000000e+00
0.800000,0.000000,0.000000e+00
0.812500,0.000000,0.000000e+00
0.825000,0.000000,0.000000e+00
0.837500,0.000000,0.000000e+00
0.850000,0.000000,0.000000e+00
0.862500,0.000000,0.000000e+00
0.875000,0.000000,0.000000e+00
0.887500,0.000000,0.000000e+00
0.900000,0.000000,0.000000e+00
0.912500,0.000000,0.000000e+00
0.925000,0.000000,0.000000e+00
0.937500,0.000000,0.000000e+00
0.950000,0.000000,0.000000e+00
0.962500,0.000000,0.000000e+00
0.975000,0.000000,0.000000e+00
0.987500,0.000000,0.000000e+00
1.000000,0.000000,0.000000e+00
0.000000,0.012500,0.000000e+00
0.012500,0.012500,4.936734e-04
0.025000,0.012500,9.873730e-04
0.037500,0.012500,1.481099e-03
0.050000,0.012500,1.974851e-03
0.062500,0.012500,2.468629e-03
0.075000,0.012500,2.962433e-03
0.087500,0.012500,3.456264e-03
0.100000,0.012500,3.950121e-03
0.112500,0.012500,4.444004e-03
0.125000,0.012500,4.937913e-03
0.137500,0.012500,5.431848e-03
0.150000,0.012500,5.925810e-03
0.162500,0.012500,6.419798e-03
0.175000,0.012500,6.913812e-03
0.187500,0.012500,7.407852e-03
0.200000,0.012500,7.901918e-03
0.212500,0.012500,8.396011e-03
0.225000,0.012500,8.890130e-03
0.237500,0.012500,9.384275e-03
0.250000,0.012500,9.878446e-03
0.262500,0.012500,1.037264e-02
0.275000,0.012500,1.086687e-02
0.287500,0.012500,1.136112e-02
0.300000,0.012500,1.185539e-02
0.312500,0.012500,1.234969e-02
0.325000,0.012500,1.284402e-02
0.337500,0.012500,1.333838e-02
0.350000,0.012500,1.383276e-02
0.362500,0.012500,1.432717e-02
0.375000,0.012500,1.482160e-02
0.387500,0.012500,1.531606e-02
0.400000,0.012500,1.581054e-02
0.412500,0.012500,1.630505e-02
0.425000,0.012500,1.679959e-02
0.437500,0.012500,1.729416e-02
0.450000,0.012500,1.778875e-02
0.462500,0.012500,1.828336e-02
0.475000,0.012500,1.877801e-02
0.487500,0.012500,1.927268e-02
0.500000,0.012500,1.976737e-02
0.512500,0.012500,2.026209e-02
0.525000,0.012500,2.075684e-02
0.537500,0.012500,2.125161e-02
0.550000,0.012500,2.174641e-02
0.562500,0.012500,2.224124e-02
0.575000,0.012500,2.273609e-02
0.587500,0.012500,2.323097e-02
0.600000,0.012500,2.372587e-02
0.612500,0.012500,2.422080e-02
0.625000,0.012500,2.471576e-02
0.637500,0.012500,2.521075e-02
0.650000,0.012500,2.570575e-02
0.662500,0.012500,2.620079e-02
0.675000,0.012500,2.669585e-02
0.687500,0.012500,2.719094e-02
0.700000,0.012500,2.768605e-02
0.712500,0.012500,2.818119e-02
0.725000,0.012500,2.867636e-02
0.737500,0.012500,2.917154e-02
0.750000,0.012500,2.966613e-02
0.762500,0.012500,3.015984e-02
0.775000,0.012500,3.065267e-02
0.787500,0.012500,3.114460e-02
0.800000,0.012500,3.163565e-02
0.812500,0.012500,3.212582e-02
0.825000,0.012500,3.261509e-02
0.837500,0.012500,3.310349e-02
0.850000,0.012500,3.359099e-02
0.862500,0.012500,3.407761e-02
0.875000,0.012500,3.456334e-02
0.887500,0.012500,3.504819e-02
0.900000,0.012500,3.550757e-02
0.912500,0.012500,3.583172e-02
0.925000,0.012500,3.600746e-02
0.937500,0.012500,3.597899e-02
0.950000,0.012500,3.531401e-02
0.962500,0.012500,3.344422e-02
0.975000,0.012500,2.910520e-02
0.987500,0.012500,1.971513e-02
1.000000,0.012500,0.000000e+00
0.000000,0.025000,0.000000e+00
0.012500,0.025000,9.839095e-04
0.025000,0.025000,1.967871e-03
0.037500,0.025000,2.951886e-03
0.050000,0.025000,3.935952e-03
0.062500,0.025000,4.920071e-03
0.075000,0.025000,5.904242e-03
0.087500,0.025000,6.888466e-03
0.100000,0.025000,7.872741e-03
0.112500,0.025000,8.857069e-03
0.125000,0.025000,9.841450e-03
0.137500,0.025000,1.082588e-02
0.150000,0.025000,1.181037e-02
0.162500,0.025000,1.279491e-02
0.175000,0.025000,1.377950e-02
0.187500,0.025000,1.476414e-02
0.200000,0.025000,1.574883e-02
0.212500,0.025000,1.673358e-02
0.225000,0.025000,1.771838e-02
0.237500,0.025000,1.870323e-02
0.250000,0.025000,1.968813e-02
0.262500,0.025000,2.067309e-02
0.275000,0.025000,2.165810e-02
0.287500,0.025000,2.264316e-02
0.300000,0.025000,2.362827e-02
0.312500,0.025000,2.461344e-02
0.325000,0.025000,2.559865e-02
0.337500,0.025000,2.658392e-02
0.350000,0.025000,2.756925e-02
0.362500,0.025000,2.855462e-02
0.375000,0.025000,2.954005e-02
0.387500,0.025000,3.052553e-02
0.400000,0.025000,3.151106e-02
0.412500,0.025000,3.249664e-02
0.425000,0.025000,3.348228e-02
0.437500,0.025000,3.446797e-02
0.450000,0.025000,3.545371e-02
0.462500,0.025000,3.643950e-02
0.475000,0.025000,3.742535e-02
0.487500,0.025000,3.841125e-02
0.500000,0.025000,3.939720e-02
0.512500,0.025000,4.038320e-02
0.525000,0.025000,4.136926e-02
0.537500,0.025000,4.235536e-02
0.550000,0.025000,4.334152e-02
0.562500,0.025000,4.432773e-02
0.575000,0.025000,4.531400e-02
0.587500,0.025000,4.630032e-02
0.600000,0.025000,4.728668e-02
0.612500,0.025000,4.827311e-02
0.625000,0.025000,4.925958e-02
0.637500,0.025000,5.024610e-02
0.650000,0.025000,5.123268e-02
0.662500,0.025000,5.221931e-02
0.675000,0.025000,5.320600e-02
0.687500,0.025000,5.419273e-02
0.700000,0.025000,5.517952e-02
0.712500,0.025000,5.616636e-02
0.725000,0.025000,5.715325e-02
0.737500,0.025000,5.814017e-02
0.750000,0.025000,5.912592e-02
0.762500,0.025000,6.010991e-02
0.775000,0.025000,6.109213e-02
0.787500,0.025000,6.207258e-02
0.800000,0.025000,6.305127e-02
0.812500,0.025000,6.402819e-02
0.825000,0.025000,6.500335e-02
0.837500,0.025000,6.597674e-02
0.850000,0.025000,6.694836e-02
0.862500,0.025000,6.791822e-02
0.875000,0.025000,6.888632e-02
0.887500,0.025000,6.985264e-02
0.900000,0.025000,7.076821e-02
0.912500,0.025000,7.141425e-02
0.925000,0.025000,7.176451e-02
0.937500,0.025000,7.170778e-02
0.950000,0.025000,7.038243e-02
0.962500,0.025000,6.665586e-02
0.975000,0.025000,5.800799e-02
0.987500,0.025000,3.929317e-02
1.000000,0.025000,0.000000e+00
0.000000,0.037500,0.000000e+00
0.012500,0.037500,1.470708e-03
0.025000,0.037500,2.941495e-03
0.037500,0.037500,4.412360e-03
0.050000,0.037500,5.883304e-03
0.062500,0.037500,7.354325e-03
0.075000,0.037500,8.825426e-03
0.087500,0.037500,1.029660e-02
0.100000,0.037500,1.176786e-02
0.112500,0.037500,1.323920e-02
0.125000,0.037500,1.471061e-02
0.137500,0.037500,1.618210e-02
0.150000,0.037500,1.765367e-02
0.162500,0.037500,1.912532e-02
0.175000,0.037500,2.059705e-02
0.187500,0.037500,2.206886e-02
0.200000,0.037500,2.354074e-02
0.212500,0.037500,2.501270e-02
0.225000,0.037500,2.648474e-02
0.237500,0.037500,2.795686e-02
0.250000,0.037500,2.942906e-02
0.262500,0.037500,3.090134e-02
0.275000,0.037500,3.237369e-02
0.287500,0.037500,3.384613e-02
0.300000,0.037500,3.531864e-02
0.312500,0.037500,3.679123e-02
0.325000,0.037500,3.826389e-02
0.337500,0.037500,3.973664e-02
0.350000,0.037500,4.120947e-02
0.362500,0.037500,4.268237e-02
0.375000,0.037500,4.415535e-02
0.387500,0.037500,4.562841e-02
0.400000,0.037500,4.710155e-02
0.412500,0.037500,4.857477e-02
0.425000,0.037500,5.004806e-02
0.437500,0.037500,5.152144e-02
0.450000,0.037500,5.299489e-02
0.462500,0.037500,5.446842e-02
0.475000,0.037500,5.594203e-02
0.487500,0.037500,5.741572e-02
0.500000,0.037500,5.888948e-02
0.512500,0.037500,6.036333e-02
0.525000,0.037500,6.183725e-02
0.537500,0.037500,6.331125e-02
0.550000,0.037500,6.478533e-02
0.562500,0.037500,6.625949e-02
0.575000,0.037500,6.773372e-02
0.587500,0.037500,6.920804e-02
0.600000,0.037500,7.068243e-02
0.612500,0.037500,7.215690e-02
0.625000,0.037500,7.363145e-02
0.637500,0.037500,7.510608e-02
0.650000,0.037500,7.658079e-02
0.662500,0.037500,7.805557e-02
0.675000,0.037500,7.953043e-02
0.687500,0.037500,8.100538e-02
0.700000,0.037500,8.248040e-02
0.712500,0.037500,8.395549e-02
0.725000,0.037500,8.543067e-02
0.737500,0.037500,8.690588e-02
0.750000,0.037500,8.837935e-02
0.762500,0.037500,8.985019e-02
0.775000,0.037500,9.131838e-02
0.787500,0.037500,9.278394e-02
0.800000,0.037500,9.424685e-02
0.812500,0.037500,9.570713e-02
0.825000,0.037500,9.716477e-02
0.837500,0.037500,9.861976e-02
0.850000,0.037500,1.000721e-01
0.862500,0.037500,1.015218e-01
0.875000,0.037500,1.029689e-01
0.887500,0.037500,1.044133e-01
0.900000,0.037500,1.057819e-01
0.912500,0.037500,1.067476e-01
0.925000,0.037500,1.072712e-01
0.937500,0.037500,1.071864e-01
0.950000,0.037500,1.052053e-01
0.962500,0.037500,9.963493e-02
0.975000,0.037500,8.670839e-02
0.987500,0.037500,5.873410e-02
1.000000,0.037500,0.000000e+00
0.000000,0.050000,0.000000e+00
0.012500,0.050000,1.954070e-03
0.025000,0.050000,3.908244e-03
0.037500,0.050000,5.862522e-03
0.050000,0.050000,7.816905e-03
0.062500,0.050000,9.771393e-03
0.075000,0.050000,1.172598e-02
0.087500,0.050000,1.368068e-02
0.100000,0.050000,1.563548e-02
0.112500,0.050000,1.759039e-02
0.125000,0.050000,1.954540e-02
0.137500,0.050000,2.150051e-02
0.150000,0.050000,2.345573e-02
0.162500,0.050000,2.541105e-02
0.175000,0.050000,2.736648e-02
0.187500,0.050000,2.932201e-02
0.200000,0.050000,3.127764e-02
0.212500,0.050000,3.323338e-02
0.225000,0.050000,3.518923e-02
0.237500,0.050000,3.714518e-02
0.250000,0.050000,3.910123e-02
0.262500,0.050000,4.105739e-02
0.275000,0.050000,4.301365e-02
0.287500,0.050000,4.497002e-02
0.300000,0.050000,4.692649e-02
0.312500,0.050000,4.888306e-02
0.325000,0.050000,5.083974e-02
0.337500,0.050000,5.279653e-02
0.350000,0.050000,5.475342e-02
0.362500,0.050000,5.671041e-02
0.375000,0.050000,5.866751e-02
0.387500,0.050000,6.062471e-02
0.400000,0.050000,6.258201e-02
0.412500,0.050000,6.453943e-02
0.425000,0.050000,6.649694e-02
0.437500,0.050000,6.845456e-02
0.450000,0.050000,7.041228e-02
0.462500,0.050000,7.237011e-02
0.475000,0.050000,7.432804e-02
0.487500,0.050000,7.628608e-02
0.500000,0.050000,7.824422e-02
0.512500,0.050000,8.020247e-02
0.525000,0.050000,8.216082e-02
0.537500,0.050000,8.411927e-02
0.550000,0.050000,8.607783e-02
0.562500,0.050000,8.803650e-02
0.575000,0.050000,8.999526e-02
0.587500,0.050000,9.195414e-02
0.600000,0.050000,9.391311e-02
0.612500,0.050000,9.587219e-02
0.625000,0.050000,9.783138e-02
0.637500,0.050000,9.979067e-02
0.650000,0.050000,1.017501e-01
0.662500,0.050000,1.037096e-01
0.675000,0.050000,1.056692e-01
0.687500,0.050000,1.076289e-01
0.700000,0.050000,1.095887e-01
0.712500,0.050000,1.115486e-01
0.725000,0.050000,1.135086e-01
0.737500,0.050000,1.154687e-01
0.750000,0.050000,1.174264e-01
0.762500,0.050000,1.193807e-01
0.775000,0.050000,1.213314e-01
0.787500,0.050000,1.232787e-01
0.800000,0.050000,1.252224e-01
0.812500,0.050000,1.271626e-01
0.825000,0.050000,1.290993e-01
0.837500,0.050000,1.310326e-01
0.850000,0.050000,1.329623e-01
