x,u_uniform
0.00000000e+00,0.00000000e+00
3.12500000e-02,3.11839981e-02
9.37500000e-02,9.38087010e-02
1.56250000e-01,1.56097261e-01
2.18750000e-01,2.18952796e-01
2.81250000e-01,2.80853917e-01
3.43750000e-01,3.44361303e-01
4.06250000e-01,4.05165394e-01
4.68750000e-01,4.70519017e-01
5.31250000e-01,5.28215943e-01
5.93750000e-01,5.98798785e-01
6.56250000e-01,6.47695121e-01
7.18750000e-01,7.33089004e-01
7.81250000e-01,7.57058486e-01
8.43750000e-01,8.84352769e-01
9.06250000e-01,8.34014138e-01
9.68750000e-01,8.37664309e-01
1.00000000e+00,0.00000000e+00
