x,u_radapted
0.00000000e+00,0.00000000e+00
3.67599344e-01,3.67313121e-01
8.13991207e-01,8.13707967e-01
9.12389442e-01,9.05877257e-01
9.40458919e-01,9.07348380e-01
9.54145001e-01,8.81622509e-01
9.63145677e-01,8.41784533e-01
9.69883551e-01,7.91436511e-01
9.75271133e-01,7.32387647e-01
9.79752563e-01,6.65864260e-01
9.83579798e-01,5.92832030e-01
9.86910299e-01,5.14114944e-01
9.89850015e-01,4.30430904e-01
9.92475853e-01,3.42346376e-01
9.94848404e-01,2.50173738e-01
9.97018464e-01,1.53877992e-01
9.99029366e-01,5.30602881e-02
1.00000000e+00,0.00000000e+00
