x,u_exact,u_uniform,u_radapted
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50626566e-03,2.50626566e-03,2.49581067e-03,2.50227555e-03
5.01253133e-03,5.01253133e-03,4.99252145e-03,5.00457910e-03
7.51879699e-03,7.51879699e-03,7.49013235e-03,7.50691063e-03
1.00250627e-02,1.00250627e-02,9.98864337e-03,1.00092702e-02
1.25313283e-02,1.25313283e-02,1.24880545e-02,1.25116577e-02
1.50375940e-02,1.50375940e-02,1.49883658e-02,1.50140732e-02
1.75438596e-02,1.75438596e-02,1.74895771e-02,1.75165167e-02
2.00501253e-02,2.00501253e-02,1.99916886e-02,2.00189881e-02
2.25563910e-02,2.25563910e-02,2.24947002e-02,2.25214876e-02
2.50626566e-02,2.50626566e-02,2.49986119e-02,2.50240151e-02
2.75689223e-02,2.75689223e-02,2.75034238e-02,2.75265705e-02
3.00751880e-02,3.00751880e-02,3.00091357e-02,3.00291540e-02
3.25814536e-02,3.25814536e-02,3.25157478e-02,3.25317654e-02
3.50877193e-02,3.50877193e-02,3.50232600e-02,3.50344048e-02
3.75939850e-02,3.75939850e-02,3.75316723e-02,3.75370722e-02
4.01002506e-02,4.01002506e-02,4.00409847e-02,4.00397676e-02
4.26065163e-02,4.26065163e-02,4.25511973e-02,4.25424910e-02
4.51127820e-02,4.51127820e-02,4.50623099e-02,4.50452424e-02
4.76190476e-02,4.76190476e-02,4.75743227e-02,4.75480218e-02
5.01253133e-02,5.01253133e-02,5.00872356e-02,5.00508291e-02
5.26315789e-02,5.26315789e-02,5.26010486e-02,5.25536645e-02
5.51378446e-02,5.51378446e-02,5.51157617e-02,5.50565278e-02
5.76441103e-02,5.76441103e-02,5.76313750e-02,5.75594191e-02
6.01503759e-02,6.01503759e-02,6.01478883e-02,6.00623385e-02
6.26566416e-02,6.26566416e-02,6.26652977e-02,6.25652858e-02
6.51629073e-02,6.51629073e-02,6.51824310e-02,6.50682611e-02
6.76691729e-02,6.76691729e-02,6.76983660e-02,6.75712644e-02
7.01754386e-02,7.01754386e-02,7.02131028e-02,7.00742956e-02
7.26817043e-02,7.26817043e-02,7.27266413e-02,7.25773549e-02
7.51879699e-02,7.51879699e-02,7.52389816e-02,7.50804422e-02
7.76942356e-02,7.76942356e-02,7.77501236e-02,7.75835574e-02
8.02005013e-02,8.02005013e-02,8.02600674e-02,8.00867006e-02
8.27067669e-02,8.27067669e-02,8.27688129e-02,8.25898719e-02
8.52130326e-02,8.52130326e-02,8.52763602e-02,8.50930711e-02
8.77192982e-02,8.77192982e-02,8.77827092e-02,8.75962983e-02
9.02255639e-02,9.02255639e-02,9.02878600e-02,9.00995535e-02
9.27318296e-02,9.27318296e-02,9.27918126e-02,9.26028367e-02
9.52380952e-02,9.52380952e-02,9.52945668e-02,9.51061478e-02
9.77443609e-02,9.77443609e-02,9.77961229e-02,9.76094870e-02
1.00250627e-01,1.00250627e-01,1.00296481e-01,1.00112854e-01
1.02756892e-01,1.02756892e-01,1.02795640e-01,1.02616249e-01
1.05263158e-01,1.05263158e-01,1.05293602e-01,1.05119672e-01
1.07769424e-01,1.07769424e-01,1.07790365e-01,1.07623124e-01
1.10275689e-01,1.10275689e-01,1.10285929e-01,1.10126603e-01
1.12781955e-01,1.12781955e-01,1.12780296e-01,1.12630110e-01
1.15288221e-01,1.15288221e-01,1.15273464e-01,1.15133645e-01
1.17794486e-01,1.17794486e-01,1.17765434e-01,1.17637208e-01
1.20300752e-01,1.20300752e-01,1.20256206e-01,1.20140799e-01
1.22807018e-01,1.22807018e-01,1.22745780e-01,1.22644418e-01
1.25313283e-01,1.25313283e-01,1.25234180e-01,1.25148065e-01
1.27819549e-01,1.27819549e-01,1.27723334e-01,1.27651740e-01
1.30325815e-01,1.30325815e-01,1.30214453e-01,1.30155443e-01
1.32832080e-01,1.32832080e-01,1.32707538e-01,1.32659174e-01
1.35338346e-01,1.35338346e-01,1.35202587e-01,1.35162933e-01
1.37844612e-01,1.37844612e-01,1.37699602e-01,1.37666720e-01
1.40350877e-01,1.40350877e-01,1.40198582e-01,1.40170535e-01
