epoch,train,val
1,4.776880e-01,4.433422e-01
2,4.054891e-01,3.802183e-01
3,3.063724e-01,2.271883e-01
4,1.282485e-01,8.358469e-02
5,6.827298e-02,6.575851e-02
6,5.617980e-02,5.760969e-02
7,4.996657e-02,5.084810e-02
8,4.753030e-02,4.973110e-02
9,4.641628e-02,4.733280e-02
10,4.487270e-02,4.585234e-02
11,4.299610e-02,4.438315e-02
12,4.284991e-02,4.413526e-02
13,4.128448e-02,4.366408e-02
14,4.200895e-02,4.086167e-02
15,4.018835e-02,4.120764e-02
16,3.825845e-02,3.955427e-02
17,3.762165e-02,3.741750e-02
18,3.550596e-02,3.699317e-02
19,3.502114e-02,3.514747e-02
20,3.484559e-02,3.532749e-02
21,3.405297e-02,3.466967e-02
22,3.343748e-02,3.406814e-02
23,3.335456e-02,3.424778e-02
24,3.314540e-02,3.374149e-02
25,3.309747e-02,3.367991e-02
26,3.310030e-02,3.447366e-02
27,3.289979e-02,3.352874e-02
28,3.244768e-02,3.330064e-02
29,3.301122e-02,3.362788e-02
30,3.241639e-02,3.309878e-02
31,3.300606e-02,3.302164e-02
32,3.239120e-02,3.305843e-02
33,3.191664e-02,3.282885e-02
34,3.178893e-02,3.296976e-02
35,3.196939e-02,3.351845e-02
36,3.207957e-02,3.346871e-02
37,3.185987e-02,3.269586e-02
38,3.156694e-02,3.269513e-02
39,3.167784e-02,3.267348e-02
40,3.175480e-02,3.258527e-02
41,3.180212e-02,3.259371e-02
42,3.173683e-02,3.274152e-02
43,3.158306e-02,3.288081e-02
44,3.177147e-02,3.254710e-02
45,3.164988e-02,3.243117e-02
46,3.150523e-02,3.254623e-02
47,3.153258e-02,3.342243e-02
48,3.170584e-02,3.249953e-02
49,3.161492e-02,3.250345e-02
50,3.164669e-02,3.252623e-02
51,3.152026e-02,3.235517e-02
52,3.148480e-02,3.247669e-02
53,3.139206e-02,3.270493e-02
54,3.122715e-02,3.231123e-02
55,3.156250e-02,3.229753e-02
56,3.127303e-02,3.277270e-02
57,3.147718e-02,3.246714e-02
58,3.147045e-02,3.245099e-02
59,3.165772e-02,3.255264e-02
60,3.153731e-02,3.233784e-02
61,3.118281e-02,3.222940e-02
62,3.124669e-02,3.223847e-02
63,3.162703e-02,3.221854e-02
64,3.111012e-02,3.220033e-02
65,3.115043e-02,3.223862e-02
66,3.127239e-02,3.225540e-02
67,3.125967e-02,3.226314e-02
68,3.136030e-02,3.234330e-02
69,3.129422e-02,3.216241e-02
70,3.138183e-02,3.248700e-02
71,3.131430e-02,3.228380e-02
72,3.135761e-02,3.213046e-02
73,3.135766e-02,3.216372e-02
74,3.114403e-02,3.214332e-02
75,3.123321e-02,3.215548e-02
76,3.108037e-02,3.215919e-02
77,3.108897e-02,3.211273e-02
78,3.124441e-02,3.268055e-02
79,3.148864e-02,3.212857e-02
80,3.127115e-02,3.206855e-02
81,3.096869e-02,3.208835e-02
82,3.140682e-02,3.210332e-02
83,3.137525e-02,3.244611e-02
84,3.139480e-02,3.210847e-02
85,3.125917e-02,3.226756e-02
86,3.134434e-02,3.203569e-02
87,3.108049e-02,3.213499e-02
88,3.116995e-02,3.230900e-02
89,3.137036e-02,3.224156e-02
90,3.108474e-02,3.201756e-02
91,3.122074e-02,3.201183e-02
92,3.103721e-02,3.213424e-02
93,3.134235e-02,3.200040e-02
94,3.118318e-02,3.199297e-02
95,3.095423e-02,3.217640e-02
96,3.117875e-02,3.204539e-02
97,3.113765e-02,3.201362e-02
98,3.096130e-02,3.225135e-02
99,3.139344e-02,3.204356e-02
100,3.108375e-02,3.198708e-02
101,3.118480e-02,3.198450e-02
102,3.120605e-02,3.219872e-02
103,3.086918e-02,3.195185e-02
104,3.111194e-02,3.195204e-02
105,3.098267e-02,3.197872e-02
106,3.083003e-02,3.201353e-02
107,3.104615e-02,3.223128e-02
108,3.082406e-02,3.196769e-02
109,3.085628e-02,3.205496e-02
110,3.124090e-02,3.193303e-02
111,3.106693e-02,3.197390e-02
112,3.096753e-02,3.197909e-02
113,3.096058e-02,3.191425e-02
114,3.123778e-02,3.190807e-02
115,3.079888e-02,3.199233e-02
116,3.087574e-02,3.197736e-02
117,3.086871e-02,3.194328e-02
118,3.095724e-02,3.201630e-02
119,3.089852e-02,3.190043e-02
120,3.109096e-02,3.193754e-02
