epoch,train,val
1,4.22693300e-01,3.14233400e-01
2,1.38301800e-01,6.96944400e-02
3,1.16796900e-01,7.41031900e-02
4,7.48785700e-02,5.91501900e-02
5,8.25765900e-02,6.20163800e-02
6,4.58910000e-02,4.16547100e-02
7,4.00019500e-02,4.29926000e-02
8,3.81445900e-02,3.33216500e-02
9,3.36674600e-02,3.33022600e-02
10,3.20518900e-02,3.25501700e-02
11,3.14207100e-02,3.31837100e-02
12,3.14540400e-02,3.21747600e-02
13,3.10977900e-02,3.26735900e-02
14,3.15559100e-02,3.22192200e-02
15,3.18521900e-02,3.28298600e-02
16,3.13590600e-02,3.20474100e-02
17,3.13502700e-02,3.23188300e-02
18,3.14600600e-02,3.58498900e-02
19,3.20211700e-02,3.24984600e-02
20,3.16627700e-02,3.21842700e-02
21,3.14457900e-02,3.20473500e-02
22,3.11839800e-02,3.20673200e-02
23,3.13069300e-02,3.20508500e-02
24,3.13087300e-02,3.19259200e-02
25,3.13014700e-02,3.20291000e-02
26,3.13991700e-02,3.26650400e-02
27,3.17034300e-02,3.20016700e-02
28,3.30903000e-02,3.28350000e-02
29,3.16277500e-02,3.19272200e-02
30,3.11849300e-02,3.21441700e-02
31,3.11892400e-02,3.19012900e-02
32,3.10229600e-02,3.20324400e-02
33,3.08685200e-02,3.19971100e-02
34,3.08499800e-02,3.18632200e-02
35,3.07437500e-02,3.18545400e-02
36,3.08271100e-02,3.19160200e-02
37,3.08340000e-02,3.19222300e-02
38,3.07974600e-02,3.18346700e-02
39,3.09952900e-02,3.21339300e-02
40,3.13484800e-02,3.24136900e-02
41,3.24171500e-02,3.27071400e-02
42,3.13279200e-02,3.20325000e-02
43,3.08465400e-02,3.17985600e-02
44,3.09821100e-02,3.18219400e-02
45,3.11193500e-02,3.25136400e-02
46,3.11040300e-02,3.20486800e-02
47,3.09194900e-02,3.17971900e-02
48,3.09422300e-02,3.18041600e-02
49,3.08626600e-02,3.17871300e-02
50,3.09816900e-02,3.19121500e-02
51,3.09908900e-02,3.18017800e-02
52,3.09788300e-02,3.18015100e-02
53,3.07257100e-02,3.18067300e-02
54,3.06419900e-02,3.18000500e-02
55,3.09845000e-02,3.18431300e-02
56,3.07672900e-02,3.18672300e-02
57,3.09228300e-02,3.18984000e-02
58,3.09766600e-02,3.17732500e-02
59,3.10070000e-02,3.20098500e-02
60,3.09683300e-02,3.20178300e-02
61,3.07414400e-02,3.18066900e-02
62,3.08354500e-02,3.17968900e-02
63,3.11581500e-02,3.19159600e-02
64,3.07228500e-02,3.19881400e-02
65,3.08188300e-02,3.18563700e-02
66,3.08724400e-02,3.17757200e-02
67,3.07892000e-02,3.18823500e-02
68,3.08908100e-02,3.17934200e-02
69,3.07491300e-02,3.18006400e-02
70,3.08735300e-02,3.17653800e-02
71,3.07839800e-02,3.17739300e-02
72,3.08529200e-02,3.18258200e-02
73,3.08498200e-02,3.18086600e-02
74,3.07889300e-02,3.18510500e-02
75,3.08704200e-02,3.18244500e-02
76,3.07541400e-02,3.17641500e-02
77,3.07866900e-02,3.17947500e-02
78,3.07900000e-02,3.18176500e-02
