p,N,method,err_med,err_p25,err_p75
2,4,positional,9.6787742712e-02,6.4907219605e-02,1.2709646037e-01
2,8,positional,1.1272607445e-02,1.0645391099e-02,1.5298566017e-02
2,16,positional,4.2877386562e-03,3.4127303848e-03,5.1997133138e-03
2,32,positional,1.0556615639e-03,9.0640509071e-04,1.3819271800e-03
2,64,positional,2.6282059440e-04,2.2811338096e-04,3.3965280266e-04
2,4,uniform,8.6020458661e-01,7.9320563209e-01,9.2307351194e-01
2,8,uniform,6.6362062007e-01,5.3396123044e-01,8.2234225854e-01
2,16,uniform,3.3520442994e-01,2.2800396597e-01,5.2577489715e-01
2,32,uniform,1.1165142403e-01,6.7592220001e-02,2.1789535684e-01
2,64,uniform,2.9422081739e-02,1.7194900533e-02,6.3604449982e-02
3,4,positional,6.8176567597e-02,4.6371283923e-02,1.0442535352e-01
3,8,positional,2.1164188739e-03,1.8684397739e-03,2.4322941568e-03
3,16,positional,3.1458770033e-04,2.4012632560e-04,3.6202755187e-04
3,32,positional,3.5074242253e-05,2.9611949614e-05,3.9353105573e-05
3,64,positional,4.3544934792e-06,3.7050535435e-06,4.8427792174e-06
3,4,uniform,8.2022981135e-01,6.4921910388e-01,1.0972625988e+00
3,8,uniform,4.1163893678e-01,2.8260794006e-01,6.2903809786e-01
3,16,uniform,1.2988508153e-01,7.0239792601e-02,2.6951249315e-01
3,32,uniform,2.2759173362e-02,1.0648622083e-02,6.4621966211e-02
3,64,uniform,3.1316070263e-03,1.4569003153e-03,9.6379404199e-03
