# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FULL val set vs analytic u* (H1-seminorm, q=20)
level_N,iteration,train_loss,val_eta2,h1_rel_val_median
4,1,4.519322e-01,4.325571e-01,8.182532e-01
4,2,3.896170e-01,3.535599e-01,6.699391e-01
4,3,2.471038e-01,1.461263e-01,1.359550e-01
4,4,8.993716e-02,6.497543e-02,8.254957e-02
4,5,5.417502e-02,5.148045e-02,7.161200e-02
4,6,4.669754e-02,4.612238e-02,7.698295e-02
4,7,4.230049e-02,4.250646e-02,6.808719e-02
4,8,4.082697e-02,4.355883e-02,7.030812e-02
4,9,3.957997e-02,3.897087e-02,5.422720e-02
4,10,3.667880e-02,3.710905e-02,5.121569e-02
4,11,3.547348e-02,3.643929e-02,4.787401e-02
4,12,3.447539e-02,3.505595e-02,5.245889e-02
4,13,3.431291e-02,3.523732e-02,4.374493e-02
4,14,3.410914e-02,3.564141e-02,5.941982e-02
4,15,3.341910e-02,3.355170e-02,4.723887e-02
4,16,3.249301e-02,3.371196e-02,5.245903e-02
4,17,3.261109e-02,3.318068e-02,4.751160e-02
4,18,3.209116e-02,3.298758e-02,4.855341e-02
4,19,3.212341e-02,3.304717e-02,4.543594e-02
4,20,3.187064e-02,3.283030e-02,4.754597e-02
4,21,3.210490e-02,3.291056e-02,4.929095e-02
4,22,3.190637e-02,3.275674e-02,4.724923e-02
4,23,3.164881e-02,3.282053e-02,5.117617e-02
4,24,3.169441e-02,3.286816e-02,5.210893e-02
4,25,3.150965e-02,3.257829e-02,4.752152e-02
4,26,3.186847e-02,3.255341e-02,4.694464e-02
4,27,3.177216e-02,3.250030e-02,4.798865e-02
4,28,3.149840e-02,3.248685e-02,4.739687e-02
4,29,3.172955e-02,3.260185e-02,4.537677e-02
4,30,3.177769e-02,3.248653e-02,4.602304e-02
4,31,3.149771e-02,3.248379e-02,4.993528e-02
4,32,3.169576e-02,3.238881e-02,4.789854e-02
4,33,3.166671e-02,3.256816e-02,5.093537e-02
4,34,3.171351e-02,3.258873e-02,5.024686e-02
4,35,3.135514e-02,3.242467e-02,4.939947e-02
4,36,3.143460e-02,3.277895e-02,5.294071e-02
4,37,3.165155e-02,3.233828e-02,4.711118e-02
4,38,3.131711e-02,3.232551e-02,4.720410e-02
4,39,3.128405e-02,3.231022e-02,4.719582e-02
4,40,3.173819e-02,3.244416e-02,4.826611e-02
4,41,3.127359e-02,3.241076e-02,4.610866e-02
4,42,3.146056e-02,3.228122e-02,4.773004e-02
4,43,3.148625e-02,3.234824e-02,4.991078e-02
4,44,3.134459e-02,3.244713e-02,5.058565e-02
4,45,3.135932e-02,3.223786e-02,4.759063e-02
4,46,3.110605e-02,3.231898e-02,4.910177e-02
4,47,3.120423e-02,3.223154e-02,4.747942e-02
4,48,3.120763e-02,3.221749e-02,4.786714e-02
4,49,3.125984e-02,3.224644e-02,4.848901e-02
4,50,3.114298e-02,3.255806e-02,5.190342e-02
4,51,3.125563e-02,3.243225e-02,4.563697e-02
4,52,3.135432e-02,3.224342e-02,4.874789e-02
4,53,3.138810e-02,3.225085e-02,4.965739e-02
4,54,3.158209e-02,3.234150e-02,5.009585e-02
4,55,3.132693e-02,3.247477e-02,4.546374e-02
4,56,3.127755e-02,3.229087e-02,4.616037e-02
4,57,3.123296e-02,3.228791e-02,5.008287e-02
4,58,3.126626e-02,3.228074e-02,4.959581e-02
4,59,3.145988e-02,3.220222e-02,4.901089e-02
4,60,3.122339e-02,3.228083e-02,5.015205e-02
4,61,3.122122e-02,3.226966e-02,4.612999e-02
4,62,3.126956e-02,3.214134e-02,4.710800e-02
4,63,3.112491e-02,3.217369e-02,4.726296e-02
4,64,3.115023e-02,3.214665e-02,4.765900e-02
4,65,3.109983e-02,3.219124e-02,4.906117e-02
4,66,3.101109e-02,3.215152e-02,4.887386e-02
4,67,3.110293e-02,3.216452e-02,4.939940e-02
4,68,3.109398e-02,3.215155e-02,4.620649e-02
4,69,3.109468e-02,3.233621e-02,5.026417e-02
4,70,3.117532e-02,3.208750e-02,4.793314e-02
4,71,3.125458e-02,3.210362e-02,4.650524e-02
4,72,3.117364e-02,3.208854e-02,4.684834e-02
4,73,3.118359e-02,3.205992e-02,4.722762e-02
4,74,3.116985e-02,3.205969e-02,4.768498e-02
4,75,3.116268e-02,3.204854e-02,4.824194e-02
4,76,3.109672e-02,3.207148e-02,4.652548e-02
4,77,3.097430e-02,3.206139e-02,4.867160e-02
4,78,3.107087e-02,3.214502e-02,4.624356e-02
4,79,3.125295e-02,3.209457e-02,4.901374e-02
4,80,3.113778e-02,3.225189e-02,4.596341e-02
4,81,3.092492e-02,3.212344e-02,5.031333e-02
4,82,3.114280e-02,3.212741e-02,5.011589e-02
4,83,3.108605e-02,3.202008e-02,4.839609e-02
4,84,3.111651e-02,3.237216e-02,5.246291e-02
4,85,3.101496e-02,3.205236e-02,4.938474e-02
4,86,3.115097e-02,3.205142e-02,4.642428e-02
4,87,3.125840e-02,3.200155e-02,4.846858e-02
4,88,3.106226e-02,3.198383e-02,4.767879e-02
4,89,3.110917e-02,3.199892e-02,4.737153e-02
4,90,3.113878e-02,3.229484e-02,5.114903e-02
4,91,3.098384e-02,3.200578e-02,4.883865e-02
4,92,3.125317e-02,3.204321e-02,4.655520e-02
4,93,3.084860e-02,3.198786e-02,4.878191e-02
4,94,3.089901e-02,3.201743e-02,4.653843e-02
4,95,3.109119e-02,3.204150e-02,4.868958e-02
4,96,3.080775e-02,3.199925e-02,4.877837e-02
4,97,3.097107e-02,3.203007e-02,4.964826e-02
4,98,3.102787e-02,3.199619e-02,4.887802e-02
4,99,3.096547e-02,3.200823e-02,4.644363e-02
4,100,3.098106e-02,3.199592e-02,4.930086e-02
4,101,3.104422e-02,3.252733e-02,5.460323e-02
4,102,3.115309e-02,3.198541e-02,4.670848e-02
