# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FULL val set vs analytic u* (H1-seminorm, q=20)
level_N,iteration,train_loss,val_eta2,h1_rel_val_median
4,1,4.971901e-01,4.888970e-01,3.917241e-01
4,2,4.858481e-01,4.671971e-01,3.969064e-01
4,3,4.617262e-01,4.451519e-01,3.870021e-01
4,4,4.428342e-01,4.302719e-01,3.801987e-01
4,5,4.269673e-01,4.191571e-01,3.802593e-01
4,6,4.098006e-01,4.152226e-01,3.720849e-01
4,7,3.945489e-01,4.030669e-01,3.599622e-01
4,8,3.862735e-01,3.983660e-01,3.536378e-01
4,9,3.792255e-01,3.898334e-01,3.470788e-01
4,10,3.748543e-01,3.848716e-01,3.418793e-01
4,11,3.688912e-01,3.859490e-01,3.472298e-01
4,12,3.631137e-01,3.853818e-01,3.444115e-01
4,13,3.561773e-01,3.609032e-01,3.266669e-01
4,14,3.516951e-01,3.554055e-01,3.277610e-01
4,15,3.466637e-01,3.445883e-01,3.258276e-01
4,16,3.412511e-01,3.275030e-01,3.066837e-01
4,17,3.319953e-01,3.216500e-01,3.067282e-01
4,18,3.210876e-01,3.054244e-01,2.943148e-01
4,19,3.153500e-01,3.052201e-01,2.952873e-01
4,20,3.143051e-01,2.973849e-01,2.811818e-01
4,21,3.096800e-01,3.170603e-01,2.915645e-01
4,22,3.080361e-01,2.898425e-01,2.670310e-01
4,23,2.986553e-01,2.835337e-01,2.651083e-01
4,24,3.019292e-01,2.834697e-01,2.730174e-01
4,25,2.912264e-01,2.876828e-01,2.763167e-01
4,26,2.888910e-01,2.744409e-01,2.473147e-01
4,27,2.896293e-01,2.727796e-01,2.605160e-01
4,28,2.835576e-01,2.690949e-01,2.779632e-01
4,29,2.818251e-01,2.957552e-01,2.916070e-01
4,30,2.798647e-01,2.738549e-01,2.452179e-01
4,31,2.816813e-01,2.788615e-01,2.896450e-01
4,32,2.788992e-01,2.677526e-01,2.411772e-01
4,33,2.790633e-01,2.653972e-01,2.445748e-01
4,34,2.791819e-01,2.839203e-01,2.756923e-01
4,35,2.732485e-01,2.615811e-01,2.552903e-01
4,36,2.729445e-01,2.598552e-01,2.497902e-01
4,37,2.717668e-01,2.587856e-01,2.523818e-01
4,38,2.709301e-01,2.712157e-01,2.254498e-01
4,39,2.711921e-01,2.584772e-01,2.579744e-01
4,40,2.845112e-01,2.633353e-01,2.245217e-01
