# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FULL val set vs analytic u*_c (h1_rel, host)
level_N,iteration,train_loss,val_eta2,h1_rel_val_median
64,1,5.163759e-01,3.944738e-01,3.836820e-02
64,2,3.725198e-01,4.002821e-01,3.819160e-02
64,3,3.610556e-01,4.541971e-01,4.523342e-02
64,4,3.671945e-01,4.473173e-01,4.197933e-02
64,5,3.629289e-01,4.237022e-01,4.180627e-02
64,6,3.408286e-01,3.905743e-01,3.778527e-02
64,7,3.317421e-01,3.701698e-01,3.634277e-02
64,8,3.199776e-01,3.603355e-01,3.409130e-02
64,9,3.220290e-01,3.501070e-01,3.224548e-02
64,10,3.263503e-01,3.476849e-01,3.215636e-02
64,11,3.282974e-01,3.471797e-01,3.179890e-02
64,12,3.182137e-01,3.448598e-01,3.313088e-02
64,13,3.146125e-01,3.484015e-01,3.325894e-02
64,14,3.040501e-01,3.525735e-01,3.389880e-02
64,15,3.007682e-01,3.642378e-01,3.545294e-02
64,16,2.991542e-01,3.628223e-01,3.391820e-02
64,17,2.974177e-01,3.577190e-01,3.257229e-02
64,18,2.856249e-01,3.503908e-01,3.192096e-02
64,19,2.828674e-01,3.377621e-01,3.057244e-02
64,20,2.718739e-01,3.265159e-01,2.923028e-02
64,21,2.718176e-01,3.234943e-01,2.865290e-02
64,22,2.678738e-01,3.230832e-01,2.985336e-02
64,23,2.542157e-01,3.276020e-01,2.845936e-02
64,24,2.584085e-01,3.363167e-01,2.950776e-02
64,25,2.495195e-01,3.370956e-01,2.844588e-02
64,26,2.408358e-01,3.413486e-01,3.025922e-02
64,27,2.384465e-01,3.401967e-01,2.894283e-02
64,28,2.327369e-01,3.347038e-01,2.827323e-02
64,29,2.385697e-01,3.326717e-01,2.773397e-02
64,30,2.383576e-01,3.308071e-01,2.741968e-02
64,31,2.357134e-01,3.279184e-01,2.746485e-02
64,32,2.340860e-01,3.247267e-01,2.721966e-02
64,33,2.220173e-01,3.226543e-01,2.674083e-02
64,34,2.225160e-01,3.193815e-01,2.696959e-02
64,35,2.262327e-01,3.163059e-01,2.725056e-02
64,36,2.211564e-01,3.140818e-01,2.709551e-02
64,37,2.159506e-01,3.066937e-01,2.694633e-02
64,38,2.246362e-01,3.016432e-01,2.559059e-02
64,39,2.224653e-01,3.020066e-01,2.637947e-02
64,40,2.149826e-01,3.060339e-01,2.537781e-02
64,41,2.064014e-01,3.165862e-01,2.661054e-02
64,42,2.170942e-01,3.378040e-01,2.802032e-02
64,43,2.130109e-01,3.267009e-01,2.642892e-02
64,44,2.063252e-01,3.243584e-01,2.646260e-02
64,45,2.045161e-01,3.323788e-01,2.522806e-02
64,46,2.059185e-01,3.271005e-01,2.632225e-02
64,47,2.031717e-01,3.209905e-01,2.460310e-02
64,48,2.000443e-01,3.182444e-01,2.462574e-02
64,49,1.975476e-01,3.136995e-01,2.514826e-02
64,50,1.918535e-01,3.141913e-01,2.362721e-02
64,51,1.960334e-01,3.106638e-01,2.335070e-02
64,52,1.843591e-01,3.057675e-01,2.426197e-02
64,53,1.853953e-01,3.019807e-01,2.282842e-02
64,54,1.856670e-01,3.012947e-01,2.277976e-02
64,55,1.841019e-01,3.010827e-01,2.359153e-02
64,56,1.816674e-01,3.071219e-01,2.246554e-02
64,57,1.841220e-01,3.077551e-01,2.244883e-02
64,58,1.769510e-01,3.164095e-01,2.339150e-02
64,59,1.811041e-01,3.121428e-01,2.260329e-02
64,60,1.689048e-01,3.200985e-01,2.200612e-02
64,61,3.480108e-01,3.280387e-01,2.673007e-02
64,62,3.037936e-01,2.859147e-01,2.846834e-02
64,63,2.948067e-01,2.866800e-01,2.672203e-02
64,64,2.993447e-01,2.922362e-01,2.636251e-02
64,65,2.886889e-01,2.685590e-01,2.566358e-02
64,66,2.641447e-01,2.601971e-01,2.348428e-02
64,67,2.747870e-01,2.619059e-01,2.262316e-02
64,68,2.629496e-01,2.520989e-01,2.188500e-02
64,69,2.561660e-01,2.508425e-01,2.225064e-02
64,70,2.580070e-01,2.446963e-01,2.255231e-02
64,71,2.622699e-01,2.529623e-01,2.227459e-02
64,72,2.494720e-01,2.571520e-01,2.342170e-02
64,73,2.545471e-01,2.444647e-01,2.190457e-02
