# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FULL val set vs analytic u*_c (h1_rel, host)
level_N,iteration,train_loss,val_eta2,h1_rel_val_median
64,1,3.229550e-01,3.117636e-01,4.177710e-03
64,2,2.899312e-01,3.733781e-01,5.039945e-03
64,3,2.992918e-01,3.622768e-01,4.637957e-03
64,4,2.732749e-01,3.362158e-01,4.429469e-03
64,5,2.470974e-01,3.148304e-01,4.275421e-03
64,6,2.302247e-01,2.977106e-01,4.083930e-03
64,7,2.223498e-01,2.914067e-01,3.843567e-03
64,8,2.130098e-01,2.843109e-01,3.782480e-03
64,9,2.097237e-01,2.775382e-01,3.812872e-03
64,10,2.007399e-01,2.822291e-01,3.648807e-03
64,11,1.966089e-01,2.885499e-01,3.828689e-03
64,12,1.870132e-01,2.840685e-01,3.732820e-03
64,13,1.844310e-01,2.747177e-01,3.560525e-03
64,14,1.810007e-01,2.659660e-01,3.435480e-03
64,15,1.783937e-01,2.687418e-01,3.511350e-03
64,16,1.738478e-01,2.936055e-01,3.570862e-03
64,17,1.704999e-01,3.082938e-01,3.928535e-03
64,18,1.665798e-01,3.162960e-01,3.781438e-03
64,19,1.622743e-01,2.892657e-01,3.488369e-03
64,20,1.604687e-01,2.730315e-01,3.144636e-03
64,21,1.689170e-01,2.744323e-01,3.124245e-03
64,22,1.648408e-01,2.821663e-01,3.273822e-03
64,23,1.584303e-01,2.957454e-01,3.392690e-03
64,24,1.555942e-01,3.146016e-01,3.526420e-03
64,25,1.530483e-01,3.249952e-01,3.880958e-03
64,26,1.550124e-01,3.517572e-01,3.756739e-03
64,27,1.568963e-01,3.513942e-01,4.073823e-03
64,28,1.530446e-01,3.220667e-01,3.561381e-03
64,29,1.432601e-01,2.931010e-01,3.073408e-03
64,30,1.431207e-01,2.861395e-01,3.059963e-03
64,31,1.458918e-01,3.067471e-01,3.079708e-03
64,32,1.382904e-01,3.424424e-01,3.399626e-03
64,33,1.337829e-01,3.206098e-01,3.364242e-03
64,34,1.311815e-01,3.149876e-01,3.232244e-03
64,35,1.296735e-01,3.154981e-01,3.267465e-03
64,36,1.267296e-01,3.546468e-01,3.325907e-03
64,37,1.308341e-01,3.590075e-01,3.656600e-03
64,38,1.311248e-01,3.505147e-01,3.592321e-03
64,39,1.273465e-01,3.255087e-01,2.948342e-03
64,40,1.176564e-01,3.007887e-01,2.802174e-03
64,41,1.271034e-01,2.986625e-01,2.715078e-03
