# arm=B_extrapolation c_split=3.0 warm_epochs=0 loss_denom=uniform; train=low-c only; eval later on high-c
level_N,iteration,train_loss,val_eta2,h1_rel_val_median
64,1,6.377930e-01,4.189571e-01,5.310076e-04
64,2,5.683343e-01,1.012790e+00,8.386929e-04
64,3,8.266096e-01,6.172877e-01,6.132200e-04
64,4,4.497522e-01,3.527374e-01,4.369549e-04
64,5,3.371320e-01,3.871658e-01,4.608872e-04
64,6,3.467021e-01,3.487028e-01,4.315947e-04
64,7,3.164585e-01,3.708518e-01,4.122164e-04
64,8,3.216802e-01,4.033241e-01,4.205738e-04
64,9,3.406043e-01,3.691256e-01,4.141742e-04
64,10,3.128128e-01,3.447895e-01,4.132414e-04
64,11,3.059830e-01,3.626078e-01,4.303627e-04
64,12,3.267569e-01,3.797270e-01,4.517904e-04
64,13,3.366621e-01,3.590862e-01,4.412241e-04
64,14,3.223570e-01,3.382123e-01,4.219885e-04
64,15,2.994936e-01,3.386396e-01,4.058462e-04
64,16,3.027227e-01,3.431926e-01,4.030556e-04
64,17,3.154145e-01,3.477955e-01,4.019578e-04
64,18,2.989679e-01,3.347453e-01,4.075790e-04
64,19,3.026252e-01,3.335249e-01,4.031966e-04
64,20,3.005228e-01,3.325293e-01,4.013497e-04
64,21,3.025443e-01,3.293938e-01,4.000017e-04
64,22,2.902920e-01,3.274979e-01,3.990107e-04
64,23,2.832383e-01,3.275562e-01,3.953431e-04
64,24,2.781153e-01,3.283848e-01,3.967075e-04
64,25,2.733146e-01,3.321129e-01,3.966947e-04
64,26,2.748848e-01,3.307758e-01,3.953877e-04
64,27,2.863136e-01,3.309644e-01,3.941340e-04
64,28,2.795969e-01,3.326020e-01,3.944914e-04
64,29,2.784466e-01,3.304073e-01,3.927718e-04
64,30,2.700901e-01,3.263578e-01,3.898099e-04
64,31,2.696321e-01,3.257036e-01,3.898884e-04
64,32,2.746821e-01,3.234162e-01,3.882854e-04
64,33,2.692552e-01,3.204562e-01,3.862039e-04
64,34,2.657859e-01,3.201541e-01,3.861157e-04
64,35,2.700983e-01,3.187213e-01,3.848333e-04
64,36,2.621687e-01,3.174258e-01,3.836917e-04
64,37,2.679338e-01,3.177083e-01,3.833137e-04
64,38,2.619232e-01,3.163138e-01,3.817805e-04
64,39,2.623219e-01,3.165774e-01,3.813077e-04
64,40,2.639156e-01,3.161352e-01,3.802146e-04
64,41,2.651233e-01,3.159608e-01,3.792944e-04
64,42,2.574587e-01,3.161520e-01,3.790269e-04
64,43,2.632230e-01,3.160407e-01,3.782596e-04
64,44,2.572448e-01,3.158449e-01,3.776788e-04
64,45,2.582741e-01,3.157155e-01,3.772455e-04
64,46,2.608742e-01,3.156077e-01,3.771899e-04
64,47,2.686059e-01,3.152336e-01,3.768041e-04
64,48,2.600707e-01,3.148094e-01,3.759456e-04
64,49,2.548018e-01,3.142111e-01,3.763745e-04
64,50,2.524971e-01,3.140243e-01,3.754976e-04
64,51,2.507084e-01,3.136965e-01,3.758418e-04
64,52,2.551767e-01,3.139390e-01,3.747948e-04
64,53,2.556124e-01,3.139050e-01,3.742117e-04
64,54,2.602236e-01,3.138478e-01,3.749747e-04
64,55,2.581761e-01,3.139475e-01,3.736321e-04
64,56,2.546705e-01,3.137760e-01,3.744561e-04
64,57,2.545820e-01,3.138734e-01,3.731182e-04
64,58,2.599698e-01,3.138446e-01,3.745906e-04
64,59,2.572630e-01,3.137748e-01,3.744198e-04
64,60,2.604480e-01,3.139051e-01,3.726627e-04
64,61,2.537411e-01,3.140648e-01,3.751887e-04
64,62,2.559103e-01,3.132794e-01,3.741171e-04
64,63,2.540484e-01,3.132981e-01,3.734999e-04
64,64,2.591943e-01,3.150629e-01,3.763658e-04
64,65,2.568530e-01,3.130197e-01,3.740361e-04
64,66,2.576022e-01,3.147144e-01,3.716109e-04
64,67,2.598966e-01,3.152234e-01,3.714428e-04
64,68,2.521615e-01,3.150435e-01,3.700203e-04
64,69,2.599802e-01,3.140986e-01,3.616351e-04
64,70,2.543355e-01,3.194341e-01,3.563345e-04
64,71,2.508131e-01,3.196587e-01,3.562215e-04
64,72,2.447336e-01,3.156285e-01,3.616447e-04
