# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FIXED val subset size=8 seed=0 vs immersed IGA self-reference (cache=/scratch/ecaru/repo_pro/references/reference_lshape.pkl)
iteration,train_loss,val_eta2,h1_rel_val_median
1,5.028211e-01,5.012538e-01,1.016870e-01
2,4.975401e-01,4.943639e-01,1.011929e-01
3,4.903515e-01,4.885232e-01,1.004765e-01
4,4.844310e-01,4.839969e-01,9.964867e-02
5,4.797017e-01,4.802753e-01,9.870472e-02
6,4.764763e-01,4.769967e-01,9.775120e-02
7,4.726074e-01,4.741482e-01,9.702607e-02
8,4.694810e-01,4.716575e-01,9.653263e-02
9,4.666305e-01,4.694505e-01,9.617547e-02
10,4.639109e-01,4.671395e-01,9.600155e-02
11,4.612081e-01,4.643126e-01,9.589067e-02
12,4.584672e-01,4.607623e-01,9.564989e-02
13,4.541141e-01,4.569409e-01,9.540512e-02
14,4.497026e-01,4.527426e-01,9.495564e-02
15,4.459981e-01,4.489874e-01,9.489648e-02
16,4.422372e-01,4.456937e-01,9.516334e-02
17,4.394674e-01,4.431427e-01,9.558896e-02
18,4.374116e-01,4.410075e-01,9.566409e-02
19,4.361228e-01,4.391520e-01,9.564956e-02
20,4.345038e-01,4.370546e-01,9.616705e-02
21,4.335719e-01,4.354176e-01,9.624088e-02
22,4.322706e-01,4.338792e-01,9.636918e-02
23,4.315999e-01,4.326387e-01,9.655714e-02
24,4.306177e-01,4.318681e-01,9.648369e-02
25,4.296724e-01,4.307328e-01,9.654758e-02
26,4.292111e-01,4.297518e-01,9.645312e-02
27,4.289171e-01,4.291486e-01,9.662926e-02
28,4.284748e-01,4.285322e-01,9.659625e-02
29,4.282009e-01,4.283201e-01,9.679210e-02
30,4.274225e-01,4.277242e-01,9.676013e-02
31,4.279012e-01,4.276841e-01,9.675502e-02
32,4.272526e-01,4.273159e-01,9.668153e-02
33,4.272011e-01,4.271499e-01,9.663290e-02
34,4.269348e-01,4.268678e-01,9.681889e-02
35,4.270756e-01,4.267082e-01,9.700969e-02
36,4.265675e-01,4.266761e-01,9.707849e-02
37,4.265522e-01,4.264925e-01,9.696484e-02
38,4.265427e-01,4.264394e-01,9.691812e-02
39,4.264095e-01,4.264267e-01,9.693743e-02
40,4.263550e-01,4.262886e-01,9.695824e-02
41,4.262624e-01,4.262621e-01,9.709100e-02
42,4.263479e-01,4.263226e-01,9.704566e-02
43,4.264901e-01,4.263058e-01,9.694451e-02
44,4.263304e-01,4.262268e-01,9.697908e-02
45,4.260733e-01,4.262355e-01,9.684857e-02
46,4.262137e-01,4.261812e-01,9.683611e-02
47,4.260842e-01,4.260971e-01,9.698858e-02
48,4.263607e-01,4.261533e-01,9.698422e-02
49,4.263027e-01,4.260843e-01,9.689320e-02
50,4.264051e-01,4.261084e-01,9.691826e-02
51,4.263073e-01,4.260333e-01,9.694361e-02
52,4.262252e-01,4.260390e-01,9.710086e-02
53,4.264855e-01,4.260184e-01,9.698578e-02
54,4.264399e-01,4.260192e-01,9.713362e-02
55,4.263363e-01,4.260133e-01,9.698112e-02
56,4.259466e-01,4.259459e-01,9.707374e-02
57,4.267550e-01,4.259528e-01,9.706787e-02
58,4.263237e-01,4.259557e-01,9.702850e-02
59,4.262249e-01,4.259579e-01,9.691366e-02
60,4.261700e-01,4.259608e-01,9.702337e-02
61,4.261163e-01,4.259094e-01,9.703519e-02
62,4.263008e-01,4.260057e-01,9.690623e-02
63,4.266434e-01,4.259978e-01,9.701273e-02
64,4.259132e-01,4.259204e-01,9.688176e-02
65,4.264779e-01,4.259330e-01,9.678677e-02
66,4.261694e-01,4.259114e-01,9.704830e-02
67,4.265626e-01,4.258988e-01,9.684736e-02
68,4.265790e-01,4.258896e-01,9.698559e-02
69,4.257416e-01,4.258718e-01,9.694273e-02
70,4.265088e-01,4.258681e-01,9.690420e-02
71,4.262368e-01,4.258535e-01,9.707315e-02
72,4.263163e-01,4.258569e-01,9.697663e-02
73,4.262580e-01,4.258559e-01,9.696860e-02
74,4.259795e-01,4.258325e-01,9.683045e-02
75,4.261708e-01,4.258129e-01,9.690062e-02
76,4.259868e-01,4.258234e-01,9.695309e-02
77,4.264225e-01,4.258190e-01,9.692965e-02
78,4.261772e-01,4.258292e-01,9.676368e-02
79,4.259026e-01,4.258024e-01,9.705023e-02
80,4.262452e-01,4.257852e-01,9.696029e-02
81,5.044475e-01,4.983083e-01,5.391078e-02
82,4.847536e-01,4.757184e-01,5.260267e-02
83,4.625839e-01,4.559906e-01,5.097397e-02
84,4.453118e-01,4.430652e-01,4.951135e-02
85,4.340680e-01,4.340954e-01,4.858387e-02
86,4.236932e-01,4.254903e-01,4.792712e-02
87,4.147197e-01,4.169583e-01,4.699365e-02
88,4.062662e-01,4.079457e-01,4.629914e-02
89,3.982001e-01,3.990366e-01,4.545566e-02
90,3.882728e-01,3.895469e-01,4.468297e-02
91,3.787419e-01,3.781690e-01,4.386133e-02
92,3.669634e-01,3.660824e-01,4.305245e-02
93,3.561329e-01,3.546474e-01,4.204108e-02
94,3.464925e-01,3.446757e-01,4.119495e-02
95,3.381925e-01,3.374394e-01,4.036885e-02
96,3.317368e-01,3.317219e-01,3.987599e-02
97,3.279782e-01,3.276624e-01,3.947824e-02
98,3.244283e-01,3.250766e-01,3.923628e-02
99,3.221690e-01,3.229012e-01,3.893469e-02
100,3.204805e-01,3.215130e-01,3.880844e-02
101,3.193821e-01,3.202223e-01,3.871520e-02
102,3.183689e-01,3.192095e-01,3.848474e-02
103,3.173537e-01,3.185481e-01,3.845389e-02
104,3.162073e-01,3.176230e-01,3.850199e-02
105,3.157747e-01,3.171356e-01,3.832222e-02
106,3.155069e-01,3.168198e-01,3.835628e-02
107,3.150684e-01,3.161852e-01,3.812082e-02
108,3.151183e-01,3.159957e-01,3.809374e-02
109,3.141165e-01,3.154096e-01,3.799040e-02
110,3.142545e-01,3.151634e-01,3.817006e-02
111,3.140612e-01,3.148025e-01,3.807602e-02
112,3.133064e-01,3.144780e-01,3.806079e-02
113,3.136896e-01,3.142597e-01,3.801494e-02
114,3.128349e-01,3.141908e-01,3.794059e-02
115,3.125040e-01,3.137160e-01,3.790596e-02
116,3.122089e-01,3.134978e-01,3.798574e-02
117,3.121569e-01,3.134416e-01,3.800753e-02
118,3.117836e-01,3.130855e-01,3.793467e-02
119,3.121856e-01,3.128268e-01,3.789795e-02
120,3.115636e-01,3.127076e-01,3.783484e-02
121,3.110951e-01,3.125284e-01,3.783335e-02
122,3.105838e-01,3.123481e-01,3.785390e-02
123,3.113057e-01,3.121563e-01,3.770994e-02
124,3.106496e-01,3.121469e-01,3.786832e-02
125,3.104776e-01,3.117775e-01,3.774408e-02
126,3.108690e-01,3.116176e-01,3.798217e-02
127,3.103154e-01,3.115086e-01,3.782182e-02
128,3.098635e-01,3.114904e-01,3.787818e-02
129,3.099239e-01,3.110931e-01,3.778803e-02
130,3.098135e-01,3.112983e-01,3.775170e-02
131,3.092150e-01,3.107811e-01,3.783212e-02
132,3.095353e-01,3.106762e-01,3.764259e-02
133,3.086879e-01,3.105656e-01,3.775776e-02
134,3.088898e-01,3.104682e-01,3.776307e-02
135,3.091216e-01,3.102643e-01,3.762481e-02
136,3.092100e-01,3.101739e-01,3.770217e-02
137,3.083256e-01,3.099412e-01,3.765354e-02
138,3.084310e-01,3.098734e-01,3.769442e-02
139,3.083073e-01,3.097069e-01,3.755692e-02
140,3.088566e-01,3.096791e-01,3.759984e-02
141,3.079610e-01,3.095302e-01,3.763426e-02
142,3.080248e-01,3.093774e-01,3.751131e-02
143,3.081988e-01,3.092374e-01,3.753307e-02
144,3.076276e-01,3.090537e-01,3.761657e-02
145,3.076944e-01,3.093838e-01,3.750026e-02
146,3.079657e-01,3.089355e-01,3.755132e-02
147,3.073981e-01,3.086900e-01,3.754080e-02
148,3.074985e-01,3.086495e-01,3.750714e-02
149,3.073260e-01,3.084462e-01,3.745721e-02
150,3.073080e-01,3.083046e-01,3.738078e-02
151,3.072011e-01,3.082295e-01,3.739588e-02
152,3.073101e-01,3.081280e-01,3.729711e-02
153,3.063631e-01,3.080163e-01,3.729501e-02
154,3.071178e-01,3.078655e-01,3.737560e-02
155,3.066030e-01,3.078036e-01,3.737570e-02
156,3.069871e-01,3.076994e-01,3.747674e-02
157,3.067107e-01,3.077006e-01,3.726789e-02
158,3.064520e-01,3.073968e-01,3.729842e-02
159,3.066493e-01,3.072985e-01,3.723076e-02
160,3.067384e-01,3.072579e-01,3.735741e-02
161,3.056769e-01,3.071663e-01,3.729144e-02
162,3.064385e-01,3.070627e-01,3.727216e-02
163,3.061203e-01,3.069289e-01,3.728450e-02
164,3.056173e-01,3.068195e-01,3.726541e-02
165,3.056187e-01,3.066982e-01,3.720971e-02
166,3.053368e-01,3.066147e-01,3.720839e-02
167,3.058951e-01,3.064939e-01,3.725085e-02
168,3.056720e-01,3.065590e-01,3.734694e-02
169,3.057064e-01,3.065236e-01,3.729367e-02
170,3.060036e-01,3.062477e-01,3.718676e-02
171,3.055174e-01,3.061448e-01,3.716902e-02
172,3.051522e-01,3.061713e-01,3.715597e-02
173,3.051585e-01,3.059853e-01,3.717664e-02
174,3.047760e-01,3.059482e-01,3.713465e-02
175,3.045392e-01,3.058747e-01,3.698292e-02
176,3.053349e-01,3.058323e-01,3.707335e-02
177,3.049094e-01,3.056749e-01,3.699382e-02
178,3.053674e-01,3.056288e-01,3.713271e-02
