iteration,train_loss,val_eta2
1,2.453691e-01,1.882798e-01
2,1.663712e-01,1.698247e-01
3,1.602299e-01,1.597364e-01
4,1.562936e-01,1.565941e-01
5,1.545235e-01,1.551354e-01
6,1.524967e-01,1.522813e-01
7,1.510125e-01,1.512000e-01
8,1.495821e-01,1.496427e-01
9,1.493537e-01,1.504954e-01
10,1.488660e-01,1.488600e-01
11,1.483667e-01,1.487950e-01
12,1.483940e-01,1.487648e-01
13,1.482684e-01,1.486769e-01
14,1.481070e-01,1.486414e-01
15,1.478571e-01,1.486837e-01
16,1.485768e-01,1.486750e-01
17,1.480703e-01,1.486171e-01
18,1.479581e-01,1.486179e-01
19,1.484224e-01,1.486614e-01
20,1.478945e-01,1.485831e-01
21,1.482678e-01,1.487943e-01
22,1.484361e-01,1.485876e-01
23,1.481139e-01,1.485622e-01
24,1.484242e-01,1.485879e-01
25,1.481908e-01,1.485682e-01
26,1.485272e-01,1.485975e-01
27,1.485885e-01,1.485646e-01
28,1.481344e-01,1.485774e-01
29,1.483188e-01,1.485545e-01
30,1.477579e-01,1.485356e-01
31,1.481952e-01,1.485550e-01
32,1.485075e-01,1.485186e-01
33,1.479003e-01,1.487889e-01
34,1.481668e-01,1.485403e-01
35,1.483917e-01,1.485879e-01
36,1.479254e-01,1.485895e-01
37,1.480211e-01,1.485011e-01
38,1.483880e-01,1.485068e-01
39,1.485124e-01,1.486005e-01
40,1.479780e-01,1.484950e-01
41,1.479735e-01,1.486376e-01
42,1.485625e-01,1.485771e-01
43,1.479139e-01,1.484897e-01
44,1.480191e-01,1.485343e-01
45,1.476518e-01,1.484817e-01
46,1.479883e-01,1.484844e-01
47,1.483278e-01,1.484707e-01
48,1.480345e-01,1.484714e-01
49,1.024370e-01,7.315166e-02
50,5.988216e-02,5.823235e-02
51,5.473531e-02,5.589539e-02
52,5.389546e-02,5.567963e-02
53,5.360221e-02,5.544075e-02
54,5.313346e-02,5.434411e-02
55,5.261849e-02,5.397215e-02
56,5.226400e-02,5.362758e-02
57,5.194360e-02,5.335937e-02
58,5.184977e-02,5.315269e-02
59,5.165615e-02,5.300704e-02
60,5.169838e-02,5.290236e-02
61,5.149103e-02,5.285730e-02
62,5.146255e-02,5.279381e-02
63,5.121985e-02,5.276480e-02
64,5.135183e-02,5.278478e-02
65,5.149231e-02,5.274630e-02
66,5.155231e-02,5.274396e-02
67,5.119756e-02,5.274938e-02
68,5.136851e-02,5.277138e-02
69,5.151760e-02,5.272840e-02
70,5.144996e-02,5.275644e-02
71,5.143791e-02,5.277387e-02
72,5.142119e-02,5.273878e-02
73,5.152221e-02,5.275366e-02
74,5.160410e-02,5.271483e-02
75,5.135252e-02,5.279686e-02
76,5.150708e-02,5.283797e-02
77,5.112543e-02,5.271110e-02
78,5.136478e-02,5.272939e-02
79,5.157979e-02,5.273784e-02
80,5.147757e-02,5.273245e-02
81,5.146648e-02,5.270374e-02
82,5.147502e-02,5.270426e-02
83,5.132838e-02,5.271320e-02
84,5.153461e-02,5.269760e-02
85,5.146717e-02,5.270174e-02
86,5.153277e-02,5.269654e-02
87,5.136263e-02,5.273904e-02
88,5.121388e-02,5.269134e-02
89,5.137821e-02,5.269379e-02
90,5.135252e-02,5.269078e-02
91,5.130020e-02,5.270469e-02
92,5.136696e-02,5.272604e-02
93,5.113864e-02,5.268700e-02
94,5.151337e-02,5.270609e-02
95,5.112937e-02,5.270993e-02
96,5.156407e-02,5.269471e-02
97,5.136285e-02,5.268236e-02
98,5.138479e-02,5.268206e-02
99,5.134811e-02,5.268649e-02
100,2.214249e-02,2.211961e-02
101,2.004875e-02,2.114102e-02
102,1.960206e-02,2.078025e-02
103,1.959717e-02,2.068908e-02
104,1.941988e-02,2.062329e-02
105,1.943399e-02,2.058270e-02
106,1.948445e-02,2.052672e-02
107,1.955519e-02,2.049335e-02
108,1.935244e-02,2.046787e-02
109,1.927603e-02,2.044148e-02
110,1.938010e-02,2.042269e-02
111,1.940038e-02,2.040373e-02
112,1.915966e-02,2.039738e-02
113,1.927802e-02,2.037057e-02
114,1.926105e-02,2.036599e-02
115,1.930503e-02,2.035312e-02
116,1.920772e-02,2.034909e-02
117,1.916124e-02,2.033209e-02
118,1.907165e-02,2.032399e-02
119,1.921391e-02,2.031964e-02
120,1.926424e-02,2.031743e-02
121,1.920771e-02,2.030994e-02
122,1.919505e-02,2.031444e-02
123,1.937634e-02,2.030739e-02
124,1.926361e-02,2.030313e-02
125,1.927793e-02,2.030653e-02
126,1.910273e-02,2.029366e-02
127,1.918010e-02,2.030025e-02
128,1.931411e-02,2.031111e-02
129,1.932529e-02,2.028736e-02
130,1.914942e-02,2.030240e-02
131,1.928356e-02,2.028464e-02
132,1.924358e-02,2.028435e-02
133,1.926863e-02,2.028330e-02
134,1.908539e-02,2.028301e-02
135,1.912410e-02,2.027866e-02
136,1.919076e-02,2.027682e-02
137,1.911680e-02,2.028804e-02
138,1.913665e-02,2.027411e-02
139,1.908148e-02,2.027460e-02
