p,N,beta,method,x_eval,u_exact_dd,u_h_dd
2,2,1.55,uniform,0.0,inf,1.6892223211557864
2,2,1.55,uniform,1e-07,1204.1882567908974,1.6892223211557864
2,2,1.55,uniform,1.0233402121916422e-07,1191.750573598878,1.6892223211557864
2,2,1.55,uniform,1.0472251898884354e-07,1179.4413553394074,1.6892223211557864
2,2,1.55,uniform,1.0716676480328644e-07,1167.2592751384502,1.6892223211557864
2,2,1.55,uniform,1.0966805983368674e-07,1155.2030198268374,1.6892223211557864
2,2,1.55,uniform,1.1222773562085071e-07,1143.2712897987099,1.6892223211557864
2,2,1.55,uniform,1.148471547840289e-07,1131.4627988714337,1.6892223211557864
2,2,1.55,uniform,1.1752771174629453e-07,1119.776274146951,1.6892223211557864
2,2,1.55,uniform,1.202708334768512e-07,1108.210455874569,1.6892223211557864
2,2,1.55,uniform,1.2307798025066658e-07,1096.7640973151658,1.6892223211557864
2,2,1.55,uniform,1.259506464258359e-07,1085.4359646067965,1.6892223211557864
2,2,1.55,uniform,1.2889036123908913e-07,1074.2248366316908,1.6892223211557864
2,2,1.55,uniform,1.318986896198669e-07,1063.1295048846184,1.6892223211557864
2,2,1.55,uniform,1.3497723302339418e-07,1052.1487733426236,1.6892223211557864
2,2,1.55,uniform,1.3812763028320093e-07,1041.2814583360964,1.6892223211557864
2,2,1.55,uniform,1.4135155848353955e-07,1030.5263884211793,1.6892223211557864
2,2,1.55,uniform,1.446507338521647e-07,1019.8824042534909,1.6892223211557864
2,2,1.55,uniform,1.48026912673951e-07,1009.348358463155,1.6892223211557864
2,2,1.55,uniform,1.5148189222583472e-07,998.9231155311194,1.6892223211557864
2,2,1.55,uniform,1.5501751173357687e-07,988.605551666753,1.6892223211557864
2,2,1.55,uniform,1.5863565335085897e-07,978.3945546867036,1.6892223211557864
2,2,1.55,uniform,1.6233824316122781e-07,968.289023895015,1.6892223211557864
2,2,1.55,uniform,1.6612725220342929e-07,958.2878699644737,1.6892223211557864
2,2,1.55,uniform,1.7000469752067182e-07,948.3900148191855,1.6892223211557864
2,2,1.55,uniform,1.7397264323438026e-07,938.5943915183648,1.6892223211557864
2,2,1.55,uniform,1.7803320164301157e-07,928.8999441413224,1.6892223211557864
2,2,1.55,uniform,1.8218853434651651e-07,919.3056276736444,1.6892223211557864
2,2,1.55,uniform,1.864408533970485e-07,909.8104078945406,1.6892223211557864
2,2,1.55,uniform,1.907924224765265e-07,900.4132612653659,1.6892223211557864
2,2,1.55,uniform,1.9524555810168608e-07,891.1131748192843,1.6892223211557864
2,2,1.55,uniform,1.9980263085725506e-07,881.9091460520768,1.6892223211557864
2,2,1.55,uniform,2.0446606665791177e-07,872.8001828140763,1.6892223211557864
2,2,1.55,uniform,2.092383480396979e-07,863.7853032032189,1.6892223211557864
2,2,1.55,uniform,2.1412201548157316e-07,854.8635354591993,1.6892223211557864
2,2,1.55,uniform,2.1911966875781473e-07,846.0339178587209,1.6892223211557864
2,2,1.55,uniform,2.242339683219845e-07,837.2954986118232,1.6892223211557864
2,2,1.55,uniform,2.2946763672319364e-07,828.6473357592881,1.6892223211557864
2,2,1.55,uniform,2.3482346005542765e-07,820.088497071099,1.6892223211557864
2,2,1.55,uniform,2.4030428944069694e-07,811.6180599459503,1.6892223211557864
2,2,1.55,uniform,2.4591304254680464e-07,803.2351113117966,1.6892223211557864
2,2,1.55,uniform,2.516527051405389e-07,794.9387475274282,1.6892223211557864
2,2,1.55,uniform,2.5752633267711987e-07,786.7280742850601,1.6892223211557864
2,2,1.55,uniform,2.635370519267393e-07,778.6022065139343,1.6892223211557864
2,2,1.55,uniform,2.6968806263906925e-07,770.5602682849111,1.6892223211557864
2,2,1.55,uniform,2.7598263924661804e-07,762.6013927160477,1.6892223211557864
2,2,1.55,uniform,2.8242413260784357e-07,754.7247218791537,1.6892223211557864
2,2,1.55,uniform,2.8901597179095113e-07,746.9294067073102,1.6892223211557864
2,2,1.55,uniform,2.9576166589932564e-07,739.2146069033441,1.6892223211557864
2,2,1.55,uniform,3.026648059395689e-07,731.5794908492496,1.6892223211557864
2,2,1.55,uniform,3.097290667331407e-07,724.0232355165406,1.6892223211557864
2,2,1.55,uniform,3.169582088726115e-07,716.545026377536,1.6892223211557864
2,2,1.55,uniform,3.243560807235811e-07,709.1440573175557,1.6892223211557864
2,2,1.55,uniform,3.3192662047331894e-07,701.8195305480253,1.6892223211557864
2,2,1.55,uniform,3.3967385822722097e-07,694.5706565204786,1.6892223211557864
2,2,1.55,uniform,3.4760191815419815e-07,687.3966538414484,1.6892223211557864
2,2,1.55,uniform,3.5571502068213824e-07,680.2967491882359,1.6892223211557864
