p,N,beta,method,x_eval,u_exact,u_h
3,2,1.55,uniform,0.0,0.0,1.3877787807814457e-17
3,2,1.55,uniform,1e-07,1.4125375446227531e-11,1.6744615456410672e-08
3,2,1.55,uniform,1.0233402121916422e-07,1.463966241333415e-11,1.713543864468129e-08
3,2,1.55,uniform,1.0472251898884354e-07,1.51726739152712e-11,1.7535383743771946e-08
3,2,1.55,uniform,1.0716676480328644e-07,1.5725091688553572e-11,1.7944663661709856e-08
3,2,1.55,uniform,1.0966805983368674e-07,1.6297622290856173e-11,1.8363496275873482e-08
3,2,1.55,uniform,1.1222773562085071e-07,1.6890998004720982e-11,1.8792104548979914e-08
3,2,1.55,uniform,1.148471547840289e-07,1.7505977774166465e-11,1.923071664777915e-08
3,2,1.55,uniform,1.1752771174629453e-07,1.8143348175398274e-11,1.9679566064519177e-08
3,2,1.55,uniform,1.202708334768512e-07,1.8803924422861986e-11,2.0138891741245968e-08
3,2,1.55,uniform,1.2307798025066658e-07,1.9488551411925026e-11,2.060893819700477e-08
3,2,1.55,uniform,1.259506464258359e-07,2.0198104799521324e-11,2.1089955658010403e-08
3,2,1.55,uniform,1.2889036123908913e-07,2.093349212414077e-11,2.1582200190855808e-08
3,2,1.55,uniform,1.318986896198669e-07,2.1695653966596432e-11,2.208593383883002e-08
3,2,1.55,uniform,1.3497723302339418e-07,2.2485565153053113e-11,2.2601424761417495e-08
3,2,1.55,uniform,1.3812763028320093e-07,2.330423600185737e-11,2.312894737705391e-08
3,2,1.55,uniform,1.4135155848353955e-07,2.4152713615762703e-11,2.3668782509213853e-08
3,2,1.55,uniform,1.446507338521647e-07,2.5032083221203018e-11,2.4221217535908334e-08
3,2,1.55,uniform,1.48026912673951e-07,2.5943469556327386e-11,2.478654654267176e-08
3,2,1.55,uniform,1.5148189222583472e-07,2.6888038309571383e-11,2.5365070479119745e-08
3,2,1.55,uniform,1.5501751173357687e-07,2.7866997610604897e-11,2.5957097319161164e-08
3,2,1.55,uniform,1.5863565335085897e-07,2.8881599575563854e-11,2.656294222494989e-08
3,2,1.55,uniform,1.6233824316122781e-07,2.993314190854102e-11,2.7182927714662922e-08
3,2,1.55,uniform,1.6612725220342929e-07,3.102296956138596e-11,2.7817383834195107e-08
3,2,1.55,uniform,1.7000469752067182e-07,3.2152476453935654e-11,2.8466648332861164e-08
3,2,1.55,uniform,1.7397264323438026e-07,3.3323107256876737e-11,2.9131066843198842e-08
3,2,1.55,uniform,1.7803320164301157e-07,3.453635923951941e-11,2.9810993064968945e-08
3,2,1.55,uniform,1.8218853434651651e-07,3.5793784184846374e-11,3.050678895344999e-08
3,2,1.55,uniform,1.864408533970485e-07,3.70969903742868e-11,3.121882491212832e-08
3,2,1.55,uniform,1.907924224765265e-07,3.844764464475228e-11,3.19474799898851e-08
3,2,1.55,uniform,1.9524555810168608e-07,3.984747452056797e-11,3.269314208278661e-08
3,2,1.55,uniform,1.9980263085725506e-07,4.12982704230241e-11,3.34562081405843e-08
3,2,1.55,uniform,2.0446606665791177e-07,4.2801887960374476e-11,3.4237084378034806e-08
3,2,1.55,uniform,2.092383480396979e-07,4.4360250301211026e-11,3.503618649115252e-08
3,2,1.55,uniform,2.1412201548157316e-07,4.5975350634249843e-11,3.585393987850982e-08
3,2,1.55,uniform,2.1911966875781473e-07,4.764925471767471e-11,3.66907798677026e-08
3,2,1.55,uniform,2.242339683219845e-07,4.938410352129985e-11,3.754715194710227e-08
3,2,1.55,uniform,2.2946763672319364e-07,5.118211596492886e-11,3.8423512003016473e-08
3,2,1.55,uniform,2.3482346005542765e-07,5.304559175641534e-11,3.93203265623861e-08
